ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,PlayerA,PlayerA_id,PlayerB,PlayerB_id,Arank,Brank,Apts,Bpts,B365A,B365B
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Monfils G. ,0,Baez S.,130,386,44,117,990,5.0,1.16
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Ymer E.,34,Ruud C.,191,155,4,384,4960,10.0,1.062
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Mpetshi Perricard G.,0,Olivieri G. ,0,233,227,245,257,2.2,1.66
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Seyboth Wild T.,0,Medvedev D. ,0,172,2,349,6330,11.0,1.05
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Van de Zandschulp B.,0,Tirante T.,0,30,153,1215,390,1.2,4.5
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Purcell M. ,0,Thompson J. ,0,67,71,781,737,2.1,1.72
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Rune H.,78,Eubanks C.,0,6,75,4375,740,1.02,19.0
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Ivashka I.,14,de Minaur A.,0,86,19,741,1870,3.75,1.28
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Paire B. ,0,Norrie C.,120,149,14,398,2565,5.5,1.14
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Nishioka Y. ,0,Wolf J.J. ,0,32,49,1181,915,2.0,1.8
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Zapata Miralles B.,281,Schwartzman D.,40,37,93,1051,660,1.61,2.3
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,O'Connell C.,0,Daniel T.,218,85,110,737,566,1.57,2.37
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Sinner J.,55,Muller A.,263,8,100,3435,639,1.03,15.0
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Krajinovic F.,180,Tiafoe F. ,0,92,12,661,2790,3.75,1.28
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Monteiro T.,124,Bonzi B.,226,96,65,652,783,1.44,2.75
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Draper J.,0,Martin Etcheverry T.,0,60,46,877,920,2.1,1.72
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Coric B.,87,Coria F.,134,16,94,2410,656,1.12,6.0
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Thiem D.,145,Cachin P.,70,91,63,666,803,1.8,2.0
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Fils A.,0,Fokina D.,0,112,34,807,1115,3.75,1.28
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Auger Aliassime F.,0,Fognini F.,213,10,130,3100,1505,1.3,3.5
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Zverev A.,142,Harris L.,245,27,306,1450,177,1.05,11.0
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Medjedovic H.,0,Giron M.,24,168,74,353,740,1.57,2.37
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Skatov T.,0,Dimitrov G.,139,147,33,412,1275,9.0,1.071
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Bublik A.,214,Zeppieri G.,236,48,129,915,478,2.2,1.66
