,Players,1R_W,2R_W,3R_W,4R_W,QF_W,SF_W,F_W
83,Herbert P.H.,4.0,1.0,0.0,0.0,0.0,0.0,0.0
84,Istomin D.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Klizan M.,3.0,1.0,0.0,0.0,0.0,0.0,0.0
86,Del Potro J. M.,1.0,1.0,0.0,0.0,0.0,0.0,0.0
87,Dolgopolov O.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
88,Chung H.,1.0,1.0,0.0,0.0,0.0,0.0,0.0
89,Anderson K.,3.0,3.0,2.0,0.0,0.0,0.0,0.0
90,Khachanov K.,6.0,5.0,5.0,1.0,0.0,0.0,0.0
91,Lorenzi P.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Monfils G.,4.0,3.0,2.0,0.0,0.0,0.0,0.0
93,Monteiro T.,3.0,1.0,0.0,0.0,0.0,0.0,0.0
94,Olivo R.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
95,Albot R.,3.0,0.0,0.0,0.0,0.0,0.0,0.0
96,Dzumhur D.,1.0,1.0,0.0,0.0,0.0,0.0,0.0
97,Donaldson J.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
98,Moutet C.,3.0,1.0,0.0,0.0,0.0,0.0,0.0
99,Berrettini M.,4.0,3.0,1.0,0.0,0.0,0.0,0.0
100,Andreozzi G.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
101,Delbonis F.,4.0,1.0,1.0,0.0,0.0,0.0,0.0
102,Cecchinato M.,4.0,3.0,1.0,1.0,1.0,0.0,0.0
103,Tsitsipas S.,5.0,4.0,4.0,2.0,2.0,1.0,0.0
104,Norrie C.,3.0,2.0,0.0,0.0,0.0,0.0,0.0
105,Munar J.,3.0,0.0,0.0,0.0,0.0,0.0,0.0
106,Giraldo S.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
107,Ruud C.,5.0,4.0,1.0,1.0,1.0,1.0,0.0
108,Querrey S.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
109,Struff J.L.,4.0,2.0,2.0,0.0,0.0,0.0,0.0
110,Marterer M.,1.0,1.0,1.0,0.0,0.0,0.0,0.0
111,Hurkacz H.,2.0,1.0,1.0,0.0,0.0,0.0,0.0
112,Shapovalov D.,2.0,0.0,0.0,0.0,0.0,0.0,0.0
113,Fabbiano T.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
114,Fucsovics M.,4.0,1.0,1.0,0.0,0.0,0.0,0.0
115,Bemelmans R.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
116,Zopp J.,1.0,1.0,0.0,0.0,0.0,0.0,0.0
117,Ymer E.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
118,Zverev M.,1.0,1.0,0.0,0.0,0.0,0.0,0.0
119,Del Potro J.M.,2.0,2.0,2.0,1.0,1.0,0.0,0.0
120,Benneteau J.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
121,Popyrin A.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
122,Otte O.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
123,Federer R.,2.0,2.0,2.0,1.0,1.0,0.0,0.0
124,Dellien H.,2.0,0.0,0.0,0.0,0.0,0.0,0.0
125,Djere L.,3.0,2.0,0.0,0.0,0.0,0.0,0.0
126,Kohlschreiber P.,2.0,1.0,0.0,0.0,0.0,0.0,0.0
127,Mayer L.,1.0,1.0,1.0,0.0,0.0,0.0,0.0
128,Londero J.I.,2.0,1.0,1.0,0.0,0.0,0.0,0.0
129,Kecmanovic M.,3.0,1.0,0.0,0.0,0.0,0.0,0.0
130,De Minaur A.,2.0,0.0,0.0,0.0,0.0,0.0,0.0
131,Krajinovic F.,3.0,2.0,0.0,0.0,0.0,0.0,0.0
132,Maden Y.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
133,Garin C.,4.0,3.0,1.0,0.0,0.0,0.0,0.0
134,Carballes Baena R.,3.0,1.0,0.0,0.0,0.0,0.0,0.0
135,Laaksonen H.,3.0,1.0,0.0,0.0,0.0,0.0,0.0
136,Caruso S.,1.0,1.0,0.0,0.0,0.0,0.0,0.0
137,Harris L.,3.0,0.0,0.0,0.0,0.0,0.0,0.0
138,Bublik A.,3.0,0.0,0.0,0.0,0.0,0.0,0.0
139,Fritz T.,4.0,1.0,0.0,0.0,0.0,0.0,0.0
140,Nishioka Y.,3.0,0.0,0.0,0.0,0.0,0.0,0.0
141,Benchetrit E.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
142,Ymer M.,3.0,2.0,0.0,0.0,0.0,0.0,0.0
143,Barrere G.,2.0,0.0,0.0,0.0,0.0,0.0,0.0
