"ATP","Date","Round","Winner","Loser","WRank","LRank","WPts","LPts","Wsets","Lsets","B365W","B365L","PSW","PSL","MaxW","MaxL","AvgW","AvgL","SetsTotales","PromDif"
32,"27/05/14","1st Round","Michon A.","Klahn B.",206,71,238,705,3,2,1.2,4.33,1.26,4.34,1.3,4.35,1.24,3.96,5,3
32,"27/05/14","1st Round","Seppi A.","Giraldo S.",33,35,1150,1118,3,0,2.37,1.53,2.78,1.51,2.78,1.59,2.54,1.51,3,2.66666666666667
32,"27/05/14","1st Round","Ferrer D.","Sijsling I.",5,55,5030,840,3,0,1.02,17,1.03,20,1.03,22,1.02,14.95,3,3.33333333333333
32,"27/05/14","1st Round","Kohlschreiber P.","Riba P.",24,84,1485,629,3,0,1.08,8,1.12,7.38,1.12,9,1.09,7.06,3,3
32,"27/05/14","1st Round","Istomin D.","Stakhovsky S.",49,93,915,600,3,1,1.36,3,1.41,3.17,1.43,3.25,1.38,2.98,4,3
32,"27/05/14","1st Round","Monaco J.","Pouille L.",76,190,675,268,3,0,1.12,5.5,1.14,6.7,1.15,7,1.13,5.95,3,3.33333333333333
32,"27/05/14","1st Round","Anderson K.","Robert S.",20,74,1710,695,3,0,1.33,3.25,1.37,3.33,1.4,3.4,1.34,3.18,3,2.33333333333333
32,"27/05/14","1st Round","Haider-Maurer A.","Brands D.",104,131,553,430,3,2,1.12,6,1.13,7.05,1.17,7,1.13,5.86,5,2.6
32,"27/05/14","1st Round","Gasquet R.","Tomic B.",13,80,2445,646,3,0,1.2,4.33,1.2,5.17,1.3,5.17,1.23,4.16,3,3.66666666666667
32,"27/05/14","1st Round","Bolelli S.","Arnaboldi A.",150,173,385,307,3,0,1.2,4.33,1.26,4.38,1.28,4.6,1.23,4.04,3,2.66666666666667
32,"27/05/14","1st Round","Lajovic D.","Delbonis F.",83,34,632,1138,3,0,4.33,1.2,4.65,1.24,5,1.3,4.39,1.2,3,3.33333333333333
32,"27/05/14","1st Round","Cuevas P.","Ebden M.",136,73,416,700,3,0,1.06,10,1.09,9.16,1.1,10.5,1.07,8.2,3,4
32,"27/05/14","1st Round","Zopp J.","Haas T.",335,18,133,2005,0,0,8.5,1.06,9.16,1.09,11,1.1,9.3,1.06,0,Inf
32,"27/05/14","1st Round","Sock J.","Almagro N.",75,22,678,1620,0,0,7,1.1,6.87,1.14,7.55,1.14,6.5,1.11,0,Inf
32,"27/05/14","1st Round","Murray A.","Golubev A.",8,53,4120,862,3,1,1.07,9,1.08,9.65,1.1,9.65,1.08,7.87,4,3.25
32,"27/05/14","1st Round","Verdasco F.","Llodra M.",25,153,1420,370,3,0,1.25,3.75,1.33,3.64,1.33,4,1.27,3.71,3,2
32,"27/05/14","1st Round","Monfils G.","Hanescu V.",28,85,1390,626,3,1,1.2,4.33,1.19,5.33,1.3,5.5,1.22,4.23,4,3
32,"27/05/14","1st Round","Matosevic M.","Brown D.",66,82,732,633,3,1,1.5,2.5,1.52,2.73,1.59,2.73,1.52,2.51,4,1.5
32,"27/05/14","1st Round","Struff J.L.","Olivetti A.",62,161,753,340,3,0,1.12,6,1.14,6.87,1.15,7,1.12,6.06,3,3
32,"28/05/14","1st Round","Johnson S.","Lokoli L.",64,406,748,104,3,2,1.25,3.75,1.29,4.05,1.3,4.05,1.27,3.68,5,2
32,"28/05/14","2nd Round","Gulbis E.","Bagnis F.",17,143,2050,398,3,0,1.06,9,1.07,11.25,1.1,11.25,1.07,8.19,3,4
32,"28/05/14","2nd Round","Granollers M.","Dolgopolov O.",229,21,210,1645,3,2,3.75,1.25,3.97,1.29,4.3,1.3,3.71,1.27,5,4.2
32,"28/05/14","2nd Round","Bautista R.","Paire B.",29,61,1330,760,3,0,1.16,5,1.23,4.69,1.23,5.75,1.17,4.97,3,2.33333333333333
32,"28/05/14","2nd Round","Stepanek R.","Youzhny M.",43,16,1040,2065,3,1,2.1,1.66,2.27,1.71,2.5,1.74,2.2,1.66,4,3.5
32,"28/05/14","2nd Round","Simon G.","Gonzalez A.",30,77,1225,675,3,0,1.12,6,1.16,6.28,1.17,6.3,1.14,5.63,3,4
32,"28/05/14","2nd Round","Tursunov D.","Querrey S.",32,67,1155,730,3,0,1.5,2.5,1.58,2.54,1.58,2.6,1.53,2.48,3,3
32,"28/05/14","2nd Round","Berdych T.","Nedovyesov A.",6,101,4330,591,3,1,1.03,15,1.04,15,1.04,23.25,1.02,14.1,4,2
32,"28/05/14","2nd Round","Klizan M.","Haase R.",59,50,795,910,3,2,1.36,3,1.45,3,1.45,3.25,1.38,2.98,5,4
32,"28/05/14","2nd Round","Djokovic N.","Chardy J.",2,42,11850,1060,3,0,1.01,21,1.01,22.22,1.01,33.5,1.01,17.58,3,3.66666666666667
32,"28/05/14","2nd Round","Cilic M.","Kamke T.",26,106,1410,547,3,1,1.08,8,1.09,9.48,1.1,9.48,1.09,7.48,4,3.75
32,"28/05/14","2nd Round","Raonic M.","Vesely J.",9,81,2975,641,3,0,1.22,4,1.31,3.85,1.31,4.05,1.25,3.84,3,2.66666666666667
32,"28/05/14","2nd Round","Federer R.","Schwartzman D.",4,109,5125,533,3,0,1.01,26,1.01,22.22,1.02,26,1.01,17.01,3,2.33333333333333
32,"28/05/14","2nd Round","Robredo T.","De Schepper K.",19,72,1900,704,3,0,1.07,8,1.1,8.6,1.1,9,1.08,7.81,3,3.33333333333333
32,"28/05/14","2nd Round","Tsonga J.W.","Melzer J.",14,56,2315,835,3,0,1.14,5.5,1.16,6.27,1.2,6.27,1.15,5.23,3,3
32,"28/05/14","2nd Round","Janowicz J.","Nieminen J.",23,60,1510,790,3,0,1.66,2.1,1.81,2.11,1.81,2.2,1.71,2.11,3,1.33333333333333
32,"28/05/14","2nd Round","Isner J.","Kukushkin M.",11,54,2600,859,3,1,1.22,4,1.27,4.22,1.27,4.5,1.24,4,4,1.5
32,"29/05/14","2nd Round","Ferrer D.","Bolelli S.",5,150,5030,385,3,0,1.02,19,1.03,20,1.04,23,1.02,14.44,3,3.66666666666667
32,"29/05/14","2nd Round","Karlovic I.","Haider-Maurer A.",37,104,1097,553,3,0,1.36,3,1.43,3.04,1.47,3.05,1.41,2.86,3,2.33333333333333
32,"29/05/14","2nd Round","Anderson K.","Michon A.",20,206,1710,238,3,0,1.08,8,1.08,9.65,1.12,9.65,1.09,7.48,3,3.66666666666667
32,"29/05/14","2nd Round","Young D.","Lopez F.",79,27,647,1395,3,0,3,1.36,3.17,1.41,3.25,1.41,3.05,1.37,3,2.33333333333333
32,"29/05/14","2nd Round","Garcia-Lopez G.","Mannarino A.",41,89,1063,612,3,1,1.12,6,1.17,5.87,1.17,6.5,1.14,5.58,4,3.25
32,"29/05/14","2nd Round","Mayer L.","Gabashvili T.",65,58,733,798,3,1,1.61,2.2,1.75,2.2,1.75,2.3,1.66,2.2,4,2.5
32,"29/05/14","2nd Round","Nadal R.","Thiem D.",1,57,12500,812,3,0,1.02,17,1.03,17.5,1.05,18,1.03,13.02,3,3.66666666666667
32,"29/05/14","2nd Round","Seppi A.","Monaco J.",33,76,1150,675,3,0,2,1.72,2.14,1.79,2.15,1.8,2.08,1.73,3,2.66666666666667
32,"29/05/14","2nd Round","Lajovic D.","Zopp J.",83,335,632,133,3,0,1.12,6,1.15,6.34,1.17,6.34,1.15,5.4,3,2.66666666666667
32,"29/05/14","2nd Round","Gasquet R.","Berlocq C.",13,47,2445,975,3,0,1.66,2.1,1.68,2.32,1.71,2.4,1.63,2.25,3,1.66666666666667
32,"29/05/14","2nd Round","Kohlschreiber P.","Istomin D.",24,49,1485,915,3,0,1.28,3.5,1.33,3.64,1.36,3.7,1.32,3.33,3,2.66666666666667
32,"29/05/14","2nd Round","Murray A.","Matosevic M.",8,66,4120,732,3,0,1.04,13,1.05,13,1.07,13,1.05,10.54,3,3.66666666666667
32,"29/05/14","2nd Round","Sock J.","Johnson S.",75,64,678,748,3,0,1.72,2,1.81,2.12,1.81,2.14,1.75,2.05,3,2.66666666666667
32,"29/05/14","2nd Round","Verdasco F.","Cuevas P.",25,136,1420,416,3,2,1.33,3.25,1.42,3.11,1.42,3.3,1.35,3.13,5,2
32,"29/05/14","2nd Round","Fognini F.","Bellucci T.",15,108,2155,540,3,0,1.18,4.5,1.22,4.85,1.24,5.2,1.19,4.53,3,2
32,"29/05/14","2nd Round","Monfils G.","Struff J.L.",28,62,1390,753,3,0,1.18,4.5,1.21,5,1.24,5,1.2,4.44,3,2.66666666666667
32,"30/05/14","3rd Round","Gulbis E.","Stepanek R.",17,43,2050,1040,3,0,1.14,5.5,1.18,5.92,1.18,6.25,1.16,5.25,3,3
32,"30/05/14","3rd Round","Federer R.","Tursunov D.",4,32,5125,1155,3,1,1.05,11,1.07,12,1.07,12.25,1.05,10.05,4,2.25
32,"30/05/14","3rd Round","Djokovic N.","Cilic M.",2,26,11850,1410,3,1,1.02,19,1.03,19,1.04,24.55,1.03,14.05,4,2.5
32,"30/05/14","3rd Round","Isner J.","Robredo T.",11,19,2600,1900,3,1,2.62,1.44,2.65,1.56,2.75,1.62,2.52,1.52,4,1.25
32,"30/05/14","3rd Round","Berdych T.","Bautista R.",6,29,4330,1330,3,1,1.36,3,1.43,3.14,1.45,3.14,1.41,2.87,4,3
32,"30/05/14","3rd Round","Tsonga J.W.","Janowicz J.",14,23,2315,1510,3,0,1.18,4.5,1.22,4.92,1.22,5.1,1.19,4.54,3,2.33333333333333
32,"30/05/14","3rd Round","Raonic M.","Simon G.",9,30,2975,1225,3,2,1.38,2.87,1.45,3.01,1.46,3.05,1.43,2.79,5,3
32,"31/05/14","3rd Round","Lajovic D.","Sock J.",83,75,632,678,3,0,2.5,1.5,2.56,1.59,2.56,1.67,2.41,1.56,3,2.33333333333333
32,"31/05/14","3rd Round","Ferrer D.","Seppi A.",5,33,5030,1150,3,0,1.03,15,1.04,17,1.07,17,1.05,10.92,3,2.66666666666667
32,"31/05/14","3rd Round","Anderson K.","Karlovic I.",20,37,1710,1097,1,0,1.44,2.62,1.47,2.94,1.62,3,1.46,2.69,1,3
32,"31/05/14","3rd Round","Granollers M.","Klizan M.",229,59,210,795,3,1,3,1.36,3.28,1.4,3.28,1.44,2.94,1.39,4,2
32,"31/05/14","3rd Round","Monfils G.","Fognini F.",28,15,1390,2155,3,2,1.9,1.8,1.99,1.93,2.1,1.96,1.95,1.84,5,3.6
32,"31/05/14","3rd Round","Nadal R.","Mayer L.",1,65,12500,733,3,0,1,41,1.01,41,1.02,48.25,1.01,21.47,3,3.33333333333333
32,"31/05/14","3rd Round","Garcia-Lopez G.","Young D.",41,79,1063,647,3,2,1.16,5,1.2,5.37,1.22,5.65,1.18,4.82,5,2.6
32,"01/06/14","3rd Round","Verdasco F.","Gasquet R.",25,13,1420,2445,3,0,2.1,1.66,2.18,1.78,2.2,1.82,2.07,1.74,3,3.33333333333333
32,"01/06/14","3rd Round","Murray A.","Kohlschreiber P.",8,24,4120,1485,3,2,1.38,2.87,1.44,3.06,1.49,3.06,1.43,2.8,5,2.6
32,"01/06/14","4th Round","Berdych T.","Isner J.",6,11,4330,2600,3,0,1.22,4.33,1.24,4.72,1.26,4.72,1.23,4.08,3,2
32,"01/06/14","4th Round","Gulbis E.","Federer R.",17,4,2050,5125,3,2,2.75,1.44,2.77,1.52,2.88,1.54,2.68,1.46,5,2.2
32,"01/06/14","4th Round","Raonic M.","Granollers M.",9,229,2975,210,3,0,1.2,4.5,1.19,5.69,1.21,5.69,1.18,4.77,3,3
32,"01/06/14","4th Round","Djokovic N.","Tsonga J.W.",2,14,11850,2315,3,0,1.1,7,1.13,7.85,1.15,7.85,1.11,6.48,3,4
32,"02/06/14","4th Round","Ferrer D.","Anderson K.",5,20,5030,1710,3,1,1.08,8,1.08,10.5,1.1,10.5,1.07,8.22,4,3
32,"02/06/14","4th Round","Nadal R.","Lajovic D.",1,83,12500,632,3,0,1.002,29,1.02,25.5,1.02,43.5,1.01,21.39,3,4.66666666666667
32,"02/06/14","4th Round","Murray A.","Verdasco F.",8,25,4120,1420,3,0,1.61,2.25,1.73,2.26,1.73,2.38,1.63,2.25,3,1.66666666666667
32,"02/06/14","4th Round","Monfils G.","Garcia-Lopez G.",28,41,1390,1063,3,0,1.53,2.5,1.57,2.62,1.63,2.62,1.58,2.38,3,4
32,"03/06/14","Quarterfinals","Djokovic N.","Raonic M.",2,9,11850,2975,3,0,1.07,9,1.08,10.5,1.12,11.13,1.08,8.32,3,1.66666666666667
32,"03/06/14","Quarterfinals","Gulbis E.","Berdych T.",17,6,2050,4330,3,0,2.3,1.61,2.44,1.64,2.44,1.71,2.27,1.64,3,3
32,"04/06/14","Quarterfinals","Murray A.","Monfils G.",8,28,4120,1390,3,2,1.5,2.62,1.58,2.58,1.58,2.75,1.51,2.56,5,4
32,"04/06/14","Quarterfinals","Nadal R.","Ferrer D.",1,5,12500,5030,3,1,1.14,5.5,1.2,5.37,1.2,5.54,1.17,5.11,4,3.75
32,"06/06/14","Semifinals","Djokovic N.","Gulbis E.",2,17,11850,2050,3,1,1.1,7,1.13,7.66,1.15,7.85,1.12,6.52,4,3
32,"06/06/14","Semifinals","Nadal R.","Murray A.",1,8,12500,4120,3,0,1.12,6,1.13,7.72,1.2,7.75,1.13,6.13,3,4
32,"08/06/14","The Final","Nadal R.","Djokovic N.",1,2,12500,11850,3,1,1.66,2.2,1.74,2.28,1.75,2.5,1.68,2.23,4,2.75
33,"24/05/15","1st Round","Bautista R.","Mayer F.",20,527,1750,63,3,0,1.11,6.5,1.13,7.41,1.15,7.54,1.12,6.12,3,3.66666666666667
33,"24/05/15","1st Round","Dzumhur D.","Youzhny M.",88,68,601,720,2,0,2.25,1.57,2.27,1.71,2.3,1.75,2.21,1.64,2,4.5
33,"24/05/15","1st Round","Kohlschreiber P.","Soeda G.",28,92,1285,575,3,0,1.04,13,1.04,16,1.06,16,1.04,11.54,3,5
33,"24/05/15","1st Round","Rosol L.","Ymer E.",43,175,1035,283,3,0,1.44,2.62,1.42,3.11,1.5,3.11,1.45,2.7,3,2.66666666666667
33,"24/05/15","1st Round","Baghdatis M.","Karlovic I.",59,25,832,1330,3,0,2,1.72,2.11,1.81,2.11,1.85,2,1.78,3,1.66666666666667
33,"24/05/15","1st Round","Federer R.","Falla A.",2,109,9235,485,3,0,1.01,21,1.02,24.52,1.02,36,1.01,18.03,3,2.66666666666667
33,"24/05/15","1st Round","Wawrinka S.","Ilhan M.",9,81,3845,647,3,0,1.02,17,1.03,20,1.04,25.21,1.02,15.89,3,3.33333333333333
33,"24/05/15","1st Round","Granollers M.","Bachinger M.",57,124,845,431,3,0,1.44,2.62,1.58,2.54,1.58,2.9,1.47,2.64,3,2
33,"24/05/15","1st Round","Andujar P.","Ramos-Vinolas A.",42,63,1050,780,3,0,1.4,2.75,1.47,2.9,1.5,2.92,1.43,2.75,3,2.33333333333333
33,"24/05/15","1st Round","Mahut N.","Coppejans K.",116,107,469,494,3,0,3,1.36,3.56,1.34,3.64,1.42,3,1.38,3,2
33,"24/05/15","1st Round","Gulbis E.","Sijsling I.",29,166,1275,311,3,0,1.36,3,1.36,3.44,1.4,3.46,1.34,3.2,3,1.66666666666667
33,"24/05/15","1st Round","Nishikori K.","Mathieu P.H.",5,125,5220,429,3,0,1.02,19,1.02,22.73,1.03,26,1.02,16.48,3,3.33333333333333
33,"24/05/15","1st Round","Lajovic D.","Gonzalez M.",67,114,730,471,3,0,1.25,3.75,1.28,4.14,1.29,4.14,1.26,3.8,3,3.66666666666667
33,"24/05/15","1st Round","Johnson S.","Garcia-Lopez G.",56,24,850,1335,3,2,5,1.16,5.24,1.2,5.25,1.22,4.58,1.19,5,2.6
33,"24/05/15","1st Round","Tsonga J.W.","Lindell C.",15,214,2045,225,3,0,1.02,17,1.03,20,1.04,20,1.02,14.14,3,4.33333333333333
33,"24/05/15","1st Round","Sela D.","Kukushkin M.",91,58,580,842,3,0,8,1.08,10.15,1.08,10.15,1.14,7.57,1.08,3,1.66666666666667
33,"25/05/15","1st Round","Becker B.","Bemelmans R.",48,95,965,546,3,2,1.66,2.1,1.91,2,1.91,2.16,1.77,2.02,5,2.6
33,"25/05/15","1st Round","Stepanek R.","Dodig I.",129,119,422,466,3,1,3,1.36,3.1,1.42,3.1,1.44,2.94,1.39,4,3
33,"25/05/15","1st Round","Fognini F.","Ito T.",27,106,1295,494,3,0,1.03,15,1.04,16,1.05,16,1.03,12.28,3,3.66666666666667
33,"25/05/15","1st Round","Monaco J.","Delbonis F.",35,82,1170,627,3,2,1.66,2.1,1.78,2.16,1.78,2.4,1.66,2.19,5,3
33,"25/05/15","1st Round","Berdych T.","Nishioka Y.",4,146,5230,360,3,0,1.62,34,1.01,29.16,1.02,41,1.01,19.35,3,3.66666666666667
33,"25/05/15","1st Round","Klizan M.","Tiafoe F.",36,287,1170,168,3,0,1.18,4.5,1.18,5.63,1.21,5.63,1.18,4.79,3,3.66666666666667
33,"25/05/15","1st Round","Cuevas P.","Groth S.",23,72,1502,691,3,1,1.07,9,1.07,11.25,1.09,11.25,1.06,8.97,4,2.5
33,"25/05/15","1st Round","Gabashvili T.","Lopez F.",74,12,677,2280,3,0,2.2,1.61,2.42,1.64,2.45,1.66,2.31,1.6,3,2.33333333333333
33,"25/05/15","1st Round","Stakhovsky S.","Berankis R.",54,93,894,573,3,0,1.53,2.37,1.59,2.52,1.64,2.52,1.57,2.37,3,3.66666666666667
33,"25/05/15","1st Round","Verdasco F.","Daniel T.",34,168,1180,303,3,0,1.12,6,1.14,6.8,1.15,6.8,1.12,5.9,3,3
33,"25/05/15","1st Round","Paire B.","Elias G.",71,152,698,342,3,2,1.4,2.75,1.5,2.8,1.5,3.1,1.41,2.84,5,2.6
33,"25/05/15","1st Round","Tomic B.","Vanni L.",26,102,1320,505,3,1,1.57,2.25,1.7,2.29,1.7,2.3,1.63,2.24,4,2.75
33,"25/05/15","1st Round","Thiem D.","Bedene A.",31,75,1225,668,3,1,1.4,2.75,1.47,2.89,1.47,3.1,1.41,2.82,4,2.25
33,"25/05/15","1st Round","Simon G.","Pouille L.",13,90,2210,581,3,1,1.33,3.25,1.4,3.22,1.43,3.25,1.35,3.1,4,3.5
33,"25/05/15","1st Round","Goffin D.","Krajinovic F.",18,99,1835,527,3,1,1.11,6.5,1.13,7.73,1.13,7.73,1.11,6.5,4,3.25
33,"25/05/15","1st Round","Robredo T.","Golubev A.",19,135,1755,386,3,1,1.22,4,1.21,5.12,1.25,5.12,1.21,4.31,4,3.25
33,"25/05/15","1st Round","Giraldo S.","Young D.",64,52,755,910,3,0,1.22,4,1.36,3.44,1.36,4.3,1.25,3.82,3,2.33333333333333
33,"25/05/15","1st Round","Bellucci T.","Matosevic M.",40,100,1065,526,3,0,1.1,7,1.1,8.6,1.13,8.6,1.09,7.01,3,3.66666666666667
33,"25/05/15","1st Round","Kokkinakis T.","Basilashvili N.",84,160,619,323,3,1,1.22,4,1.27,4.26,1.27,4.5,1.24,3.99,4,2.5
33,"25/05/15","1st Round","Kyrgios N.","Istomin D.",30,77,1250,655,3,0,1.22,4,1.3,3.92,1.3,4.75,1.22,4.16,3,2.66666666666667
33,"25/05/15","1st Round","Coric B.","Querrey S.",46,38,970,1115,3,1,2,1.72,2.16,1.78,2.16,1.95,1.95,1.82,4,3.25
33,"25/05/15","1st Round","Monfils G.","Roger-Vasselin E.",14,123,2065,432,3,1,1.07,9,1.08,10.25,1.1,10.25,1.07,8.1,4,3
33,"25/05/15","1st Round","Schwartzman D.","Haider-Maurer A.",62,51,785,926,3,1,1.5,2.5,1.56,2.62,1.56,2.8,1.48,2.61,4,2.25
33,"25/05/15","1st Round","Bolelli S.","Darcis S.",60,76,826,664,3,0,1.16,5,1.18,5.55,1.2,5.55,1.17,4.87,3,2.66666666666667
33,"25/05/15","1st Round","Melzer J.","Mannarino A.",110,32,480,1223,3,0,2.62,1.44,2.88,1.48,3.5,1.54,2.63,1.48,3,1.66666666666667
33,"25/05/15","1st Round","Troicki V.","Struff J.L.",33,98,1217,533,3,1,1.25,3.75,1.31,3.83,1.33,4,1.28,3.6,4,3.75
33,"25/05/15","1st Round","Murray A.","Arguello F.",3,137,7040,385,3,0,1.002,34,1.01,29.16,1.01,42.25,1.01,21.86,3,3.66666666666667
33,"25/05/15","1st Round","Kuznetsov An.","Jaziri M.",120,85,465,618,3,0,1.3,3.4,1.29,3.97,1.35,4,1.29,3.53,3,3
33,"25/05/15","1st Round","Edmund K.","Robert S.",121,558,447,56,3,2,1.44,2.62,1.56,2.59,1.56,2.62,1.51,2.51,5,3
33,"26/05/15","1st Round","Cilic M.","Haase R.",10,80,3370,647,3,0,1.3,3.4,1.32,3.74,1.34,4.3,1.3,3.46,3,3.33333333333333
33,"26/05/15","1st Round","Gimeno-Traver D.","Souza J.",66,78,746,650,3,0,1.33,3.25,1.41,3.15,1.41,3.5,1.34,3.2,3,1.66666666666667
33,"26/05/15","1st Round","Janowicz J.","Hamou M.",50,225,940,213,3,1,1.2,4.33,1.21,5.12,1.25,5.12,1.2,4.46,4,2
33,"26/05/15","1st Round","Lu Y.H.","Kavcic B.",65,79,754,649,3,1,1.83,1.83,2.03,1.87,2.03,2.05,1.87,1.9,4,3.25
33,"26/05/15","1st Round","Ferrer D.","Lacko L.",8,94,4490,567,3,0,1.005,29,1.01,34,1.01,39.75,1.01,22.11,3,4.33333333333333
33,"26/05/15","1st Round","Mayer L.","Vesely J.",22,41,1580,1053,3,2,1.5,2.5,1.68,2.34,1.68,2.5,1.58,2.35,5,2.6
33,"26/05/15","1st Round","Sousa J.","Pospisil V.",44,53,1008,895,3,0,1.22,4,1.22,4.91,1.27,4.91,1.21,4.34,3,3
33,"26/05/15","1st Round","Chardy J.","Berrer M.",45,145,985,361,3,1,1.18,4.5,1.15,6.35,1.2,6.35,1.17,4.92,4,2.25
33,"26/05/15","1st Round","Arnaboldi A.","Duckworth J.",187,83,261,626,3,2,2.25,1.57,2.54,1.58,2.6,1.6,2.39,1.55,5,2.2
33,"26/05/15","1st Round","Anderson K.","Smyczek T.",17,73,1970,688,3,0,1.07,9,1.07,11.25,1.08,11.25,1.06,9.05,3,2.66666666666667
33,"26/05/15","1st Round","Nadal R.","Halys Q.",7,296,4570,159,3,0,1,51,1.01,41,1.01,61,1.01,27.09,3,2.66666666666667
33,"26/05/15","1st Round","Berlocq C.","Marchenko I.",111,127,480,427,3,2,1.28,3.5,1.31,3.83,1.34,3.83,1.3,3.45,5,2.8
33,"26/05/15","1st Round","Almagro N.","Dolgopolov O.",154,69,335,705,3,1,1.5,2.5,1.66,2.37,1.66,2.6,1.55,2.42,4,2.5
33,"26/05/15","1st Round","Gasquet R.","Gigounon G.",21,209,1625,229,3,0,1.02,17,1.03,17.5,1.04,22,1.03,13.66,3,3.66666666666667
33,"26/05/15","1st Round","Isner J.","Seppi A.",16,39,1980,1100,3,0,1.25,3.75,1.24,4.55,1.35,4.55,1.24,4.01,3,3
33,"26/05/15","1st Round","Djokovic N.","Nieminen J.",1,87,13845,603,3,0,1.002,34,1.01,41,1.01,51,1.01,25.09,3,3.33333333333333
33,"26/05/15","1st Round","Sock J.","Dimitrov G.",37,11,1125,2760,3,0,4.33,1.2,4.85,1.22,5.2,1.28,4.29,1.21,3,2.66666666666667
33,"26/05/15","1st Round","Carreno-Busta P.","Estrella Burgos V.",61,49,825,945,3,0,1.72,2,1.83,2.09,1.89,2.1,1.79,1.98,3,4.66666666666667
33,"27/05/15","1st Round","Muller G.","Lorenzi P.",55,86,868,617,3,2,1.66,2.1,1.97,1.93,1.97,2.15,1.74,2.06,5,1.6
33,"27/05/15","2nd Round","Becker B.","Verdasco F.",48,34,965,1180,3,2,13,1.04,13,1.05,13.5,1.05,11.08,1.04,5,3.4
33,"27/05/15","2nd Round","Simon G.","Klizan M.",13,36,2210,1170,3,0,1.53,2.37,1.68,2.34,1.68,2.55,1.58,2.35,3,3
33,"27/05/15","2nd Round","Johnson S.","Stakhovsky S.",56,54,850,894,3,1,1.61,2.2,1.63,2.45,1.65,2.45,1.6,2.31,4,2.25
33,"27/05/15","2nd Round","Wawrinka S.","Lajovic D.",9,67,3845,730,3,1,1.07,9,1.11,8.05,1.12,9,1.08,7.63,4,2.5
33,"27/05/15","2nd Round","Federer R.","Granollers M.",2,57,9235,845,3,0,1.02,17,1.02,22.73,1.03,31,1.02,16.25,3,2.66666666666667
33,"27/05/15","2nd Round","Dzumhur D.","Baghdatis M.",88,59,601,832,3,1,2.25,1.57,2.25,1.72,2.3,1.75,2.16,1.68,4,2.75
33,"27/05/15","2nd Round","Cuevas P.","Thiem D.",23,31,1502,1225,3,1,1.83,1.83,1.94,1.96,2.1,1.96,1.94,1.84,4,1.5
33,"27/05/15","2nd Round","Gabashvili T.","Monaco J.",74,35,677,1170,3,0,3.25,1.33,3.37,1.37,3.37,1.42,3.06,1.37,3,3
33,"27/05/15","2nd Round","Nishikori K.","Bellucci T.",5,40,5220,1065,3,0,1.1,7,1.14,6.87,1.17,7.5,1.11,6.41,3,2
33,"27/05/15","2nd Round","Mahut N.","Gulbis E.",116,29,469,1275,3,1,5,1.16,4.85,1.22,5,1.22,4.51,1.19,4,2.75
33,"27/05/15","2nd Round","Paire B.","Fognini F.",71,27,698,1295,3,0,3.75,1.25,4.14,1.28,4.3,1.29,3.8,1.26,3,3.33333333333333
33,"27/05/15","2nd Round","Rosol L.","Bautista R.",43,20,1035,1750,3,0,4.5,1.18,6.1,1.16,6.1,1.21,5.02,1.17,3,3.33333333333333
33,"27/05/15","2nd Round","Monfils G.","Schwartzman D.",14,62,2065,785,3,2,1.12,6,1.12,7.73,1.13,8,1.11,6.5,5,2.6
33,"27/05/15","2nd Round","Berdych T.","Stepanek R.",4,129,5230,422,3,1,1.02,17,1.04,16,1.04,18.5,1.03,13.18,4,2.5
33,"27/05/15","2nd Round","Tsonga J.W.","Sela D.",15,91,2045,580,3,0,1.01,21,1.01,27.22,1.03,27.22,1.01,17.45,3,4
33,"28/05/15","2nd Round","Kyrgios N.","Edmund K.",30,121,1250,447,NA,NA,1.12,6,1.1,8.95,1.1,8.95,1.08,7.22,0,NA
33,"28/05/15","2nd Round","Cilic M.","Arnaboldi A.",10,187,3370,261,3,0,1.06,10,1.05,13,1.07,13,1.05,10.28,3,3.66666666666667
33,"28/05/15","2nd Round","Mayer L.","Janowicz J.",22,50,1580,940,3,1,1.3,3.4,1.33,3.64,1.34,3.7,1.3,3.47,4,2.5
33,"28/05/15","2nd Round","Kokkinakis T.","Tomic B.",84,26,619,1320,3,2,1.5,2.5,1.57,2.57,1.57,2.57,1.54,2.43,5,2.6
33,"28/05/15","2nd Round","Nadal R.","Almagro N.",7,154,4570,335,3,0,1.07,9,1.08,10.25,1.08,10.5,1.06,9,3,3.33333333333333
33,"28/05/15","2nd Round","Andujar P.","Kohlschreiber P.",42,28,1050,1285,3,2,3,1.36,3.17,1.41,3.2,1.48,2.98,1.38,5,2.8
33,"28/05/15","2nd Round","Kuznetsov An.","Melzer J.",120,110,465,480,3,1,1.44,2.62,1.4,3.22,1.52,3.22,1.43,2.79,4,2.5
33,"28/05/15","2nd Round","Goffin D.","Giraldo S.",18,64,1835,755,3,1,1.28,3.5,1.26,4.38,1.3,4.5,1.26,3.82,4,2.75
33,"28/05/15","2nd Round","Coric B.","Robredo T.",46,19,970,1755,3,2,3,1.36,3.17,1.41,3.4,1.41,3.1,1.36,5,2.6
33,"28/05/15","2nd Round","Murray A.","Sousa J.",3,44,7040,1008,3,1,1.01,21,1.02,22.73,1.03,26,1.02,15.82,4,3.25
33,"28/05/15","2nd Round","Djokovic N.","Muller G.",1,55,13845,868,3,0,1.002,34,1.01,51,1.02,81,1.01,27.22,3,3
