"ATP","Date","Round","Winner","Loser","WRank","LRank","WPts","LPts","Wsets","Lsets","B365W","B365L","PSW","PSL","MaxW","MaxL","AvgW","AvgL","SetsTotales","PromDif"
32,"27/05/13","1st Round","Monfils G.","Berdych T.",81,6,640,4685,3,2,4.5,1.18,4.26,1.27,5.5,1.27,4.18,1.23,5,1.4
32,"27/05/13","1st Round","Isner J.","Berlocq C.",21,71,1690,690,3,0,2.1,1.66,2.4,1.65,2.4,1.83,2.1,1.71,3,2.33333333333333
32,"27/05/13","1st Round","Montanes A.","Johnson S.",47,130,880,423,3,2,1.16,5,1.18,5.65,1.25,5.9,1.18,4.69,5,3.2
32,"27/05/13","1st Round","Przysiezny M.","Williams R.",133,121,410,443,3,1,1.72,2,1.92,1.99,1.95,2.1,1.79,1.98,4,2
32,"27/05/13","1st Round","Janowicz J.","Ramos A.",23,64,1524,750,3,0,1.66,2.1,1.69,2.29,1.8,2.34,1.7,2.11,3,2
32,"28/05/13","1st Round","Dimitrov G.","Falla A.",28,74,1355,676,1,0,1.07,9,1.09,9.16,1.13,9.4,1.09,7.39,1,3
32,"28/05/13","1st Round","Hanescu V.","Tomic B.",54,61,815,775,2,0,1.4,2.75,1.51,2.75,1.51,3.15,1.42,2.79,2,2
32,"28/05/13","1st Round","Youzhny M.","Andujar P.",31,45,1265,905,3,1,1.8,1.9,1.88,2.02,2,2.02,1.86,1.9,4,2.75
32,"28/05/13","1st Round","Delbonis F.","Reister J.",125,150,435,346,3,1,2.5,1.5,2.48,1.61,2.6,1.62,2.44,1.54,4,3.5
32,"28/05/13","1st Round","Tursunov D.","Dolgopolov O.",60,24,794,1500,3,0,4.5,1.18,4.99,1.21,4.99,1.24,4.36,1.21,3,1.33333333333333
32,"28/05/13","1st Round","Pouille L.","Kuznetsov Al.",324,171,131,300,3,0,2.5,1.5,2.59,1.56,2.62,1.59,2.44,1.54,3,3.33333333333333
32,"28/05/13","1st Round","Sock J.","Garcia-Lopez G.",118,79,460,646,3,0,3.5,1.28,3.35,1.38,3.95,1.38,3.43,1.31,3,3.33333333333333
32,"28/05/13","1st Round","Haas T.","Rufin G.",14,98,2340,567,3,0,1.18,4.5,1.26,4.38,1.26,5,1.2,4.46,3,3
32,"28/05/13","1st Round","Davydenko N.","Serra F.",48,131,870,419,3,0,1.18,4.5,1.25,4.46,1.25,4.95,1.22,4.26,3,2.33333333333333
32,"28/05/13","1st Round","Lu Y.H.","Bolelli S.",76,88,675,603,2,0,1.33,3.25,1.38,3.32,1.5,3.65,1.38,3.01,2,2.5
32,"28/05/13","1st Round","Istomin D.","Mayer F.",42,30,935,1290,2,1,2.37,1.53,2.47,1.61,2.75,1.65,2.38,1.57,3,2.33333333333333
32,"28/05/13","1st Round","Pella G.","Dodig I.",83,51,635,843,3,2,2.75,1.4,3,1.45,3.05,1.53,2.71,1.45,5,2.6
32,"28/05/13","1st Round","Kohlschreiber P.","Vesely J.",19,127,1750,429,3,1,1.18,4.5,1.3,3.92,1.3,5,1.23,4.16,4,3
32,"28/05/13","1st Round","Wawrinka S.","De Bakker T.",10,95,2630,572,3,1,1.06,10,1.09,9.16,1.1,11,1.07,8.51,4,2
32,"28/05/13","1st Round","Djokovic N.","Goffin D.",1,58,12310,797,3,0,1.002,29,1.01,29.16,1.02,39,1.01,20.42,3,1.66666666666667
32,"28/05/13","1st Round","Verdasco F.","Gicquel M.",53,126,830,431,3,0,1.12,6,1.22,4.97,1.22,7.1,1.15,5.35,3,4
