"ATP","Date","Round","Winner","Loser","WRank","LRank","WPts","LPts","W1","L1","W2","L2","W3","L3","W4","L4","W5","L5","Wsets","Lsets","B365W","B365L","PSW","PSL","MaxW","MaxL","AvgW","AvgL"
32,"25/05/14","1st Round","Querrey S.","Volandri F.",67,99,730,592,7,6,6,4,6,3,NA,NA,NA,NA,3,0,1.28,3.5,1.33,3.64,1.38,3.64,1.34,3.2
32,"25/05/14","1st Round","Dolgopolov O.","Ramos A.",21,115,1645,511,7,6,6,4,6,1,NA,NA,NA,NA,3,0,1.36,3,1.39,3.27,1.42,3.35,1.37,3.05
32,"25/05/14","1st Round","Chardy J.","Gimeno-Traver D.",42,94,1060,599,7,5,6,2,6,2,NA,NA,NA,NA,3,0,1.36,3,1.4,3.22,1.45,3.22,1.41,2.86
32,"26/05/14","1st Round","Paire B.","Falla A.",61,70,760,713,6,3,6,4,7,6,NA,NA,NA,NA,3,0,1.66,2.1,1.87,2.04,1.87,2.35,1.72,2.09
32,"26/05/14","1st Round","Haase R.","Davydenko N.",50,92,910,610,7,5,6,4,6,2,NA,NA,NA,NA,3,0,1.5,2.5,1.54,2.66,1.57,2.75,1.52,2.5
32,"26/05/14","1st Round","Kukushkin M.","Mahut N.",54,40,859,1067,6,3,6,7,6,3,6,4,NA,NA,3,1,1.66,2.1,1.68,2.34,1.77,2.34,1.67,2.17
32,"26/05/14","1st Round","Kamke T.","Mecir M.",106,211,547,233,7,5,7,6,7,6,NA,NA,NA,NA,3,0,1.83,1.83,1.99,1.92,1.99,2.19,1.78,2.01
32,"26/05/14","1st Round","Vesely J.","Rosol L.",81,52,641,885,6,2,7,6,7,5,NA,NA,NA,NA,3,0,1.72,2,1.69,2.3,1.8,2.3,1.7,2.12
32,"26/05/14","1st Round","Cilic M.","Andujar P.",26,78,1410,661,6,0,6,3,7,6,NA,NA,NA,NA,3,0,1.25,3.75,1.3,3.92,1.33,4,1.27,3.67
32,"26/05/14","1st Round","Klizan M.","Nishikori K.",59,10,795,2815,7,6,6,1,6,2,NA,NA,NA,NA,3,0,6,1.12,6.34,1.15,6.75,1.19,5.6,1.14
32,"26/05/14","1st Round","De Schepper K.","Montanes A.",72,86,704,625,3,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4.5,1.16,4.34,1.26,4.9,1.26,4.36,1.2
32,"26/05/14","1st Round","Robredo T.","Ward J.",19,168,1900,326,4,6,6,4,6,2,6,4,NA,NA,3,1,1.08,8,1.07,10.75,1.1,10.75,1.07,8.34
32,"26/05/14","1st Round","Djokovic N.","Sousa J.",2,44,11850,1039,6,1,6,2,6,4,NA,NA,NA,NA,3,0,1,51,1.01,46,1.01,58.5,1.01,24.98
32,"26/05/14","1st Round","Granollers M.","Dodig I.",229,36,210,1100,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1.36,3,1.36,3.48,1.54,3.5,1.39,2.99
32,"26/05/14","1st Round","Melzer J.","Goffin D.",56,105,835,548,6,4,5,7,7,5,6,4,NA,NA,3,1,1.66,2.1,1.78,2.16,1.79,2.35,1.69,2.14
32,"26/05/14","1st Round","Gonzalez A.","Russell M.",77,98,675,593,6,2,6,4,6,7,6,1,NA,NA,3,1,1.18,4.5,1.22,4.85,1.26,4.85,1.22,4.21
32,"26/05/14","1st Round","Simon G.","Pavic A.",30,177,1225,303,6,1,6,1,6,3,NA,NA,NA,NA,3,0,1.08,8,1.09,9.16,1.11,9.16,1.08,7.47
32,"26/05/14","1st Round","Bagnis F.","Benneteau J.",143,45,398,1035,6,1,6,2,1,6,3,6,18,16,3,2,2.62,1.44,2.94,1.46,3.65,1.46,2.95,1.39
32,"26/05/14","1st Round","Gabashvili T.","Pospisil V.",58,31,798,1170,6,4,6,2,6,3,NA,NA,NA,NA,3,0,1.36,3,1.39,3.28,1.4,3.5,1.34,3.18
32,"26/05/14","1st Round","Lopez F.","Dzumhur D.",27,129,1395,431,6,3,7,6,6,3,NA,NA,NA,NA,3,0,1.4,2.75,1.52,2.73,1.52,3.5,1.43,2.79
32,"26/05/14","1st Round","Bautista R.","Lorenzi P.",29,88,1330,615,6,3,7,5,6,2,NA,NA,NA,NA,3,0,1.33,3.25,1.4,3.22,1.4,4,1.33,3.31
32,"26/05/14","1st Round","Bellucci T.","Becker B.",108,69,540,713,6,2,6,4,3,6,4,6,6,2,3,2,1.12,6,1.14,6.7,1.17,6.7,1.14,5.52
32,"26/05/14","1st Round","Nadal R.","Ginepri R.",1,279,12500,169,6,0,6,3,6,0,NA,NA,NA,NA,3,0,1,41,1.01,41,1.01,60,1.01,25.98
32,"26/05/14","1st Round","Gulbis E.","Kubot L.",17,63,2050,748,4,6,6,4,7,5,6,1,NA,NA,3,1,1.06,10,1.08,10.25,1.11,11,1.06,8.61
32,"26/05/14","1st Round","Fognini F.","Beck A.",15,51,2155,1120,6,4,6,4,6,1,NA,NA,NA,NA,3,0,1.12,6,1.13,7.04,1.15,7.04,1.13,5.79
32,"26/05/14","1st Round","Mayer L.","Duckworth J.",65,165,733,331,5,7,6,2,6,4,7,6,NA,NA,3,1,1.3,3.4,1.4,3.22,1.42,4,1.33,3.27
32,"26/05/14","1st Round","Mannarino A.","Lu Y.H.",89,48,612,968,6,2,6,1,6,1,NA,NA,NA,NA,3,0,2.1,1.66,2.37,1.66,2.37,1.73,2.2,1.65
32,"26/05/14","1st Round","Thiem D.","Mathieu P.H.",57,90,812,611,6,4,7,6,6,2,NA,NA,NA,NA,3,0,1.72,2,1.79,2.14,1.87,2.25,1.77,2.02
32,"26/05/14","1st Round","Young D.","Sela D.",79,110,647,531,6,1,2,6,6,1,6,0,NA,NA,3,1,1.2,4.33,1.24,4.58,1.36,4.58,1.24,3.98
32,"26/05/14","1st Round","Garcia-Lopez G.","Wawrinka S.",41,3,1063,5830,6,4,5,7,6,2,6,0,NA,NA,3,1,7,1.1,8.04,1.11,8.04,1.14,6.51,1.11
32,"27/05/14","1st Round","Karlovic I.","Dimitrov G.",37,12,1097,2515,6,4,7,5,7,6,NA,NA,NA,NA,3,0,8,1.08,10.25,1.07,10.5,1.1,7.81,1.08
32,"27/05/14","1st Round","Berlocq C.","Hewitt L.",47,46,975,1030,3,6,6,2,6,1,6,4,NA,NA,3,1,1.28,3.5,1.26,4.3,1.3,4.33,1.26,3.77
32,"27/05/14","1st Round","Michon A.","Klahn B.",206,71,238,705,6,1,6,7,5,7,6,1,6,4,3,2,1.2,4.33,1.26,4.34,1.3,4.35,1.24,3.96
32,"27/05/14","1st Round","Seppi A.","Giraldo S.",33,35,1150,1118,6,3,7,5,6,3,NA,NA,NA,NA,3,0,2.37,1.53,2.78,1.51,2.78,1.59,2.54,1.51
32,"27/05/14","1st Round","Ferrer D.","Sijsling I.",5,55,5030,840,6,4,6,3,6,1,NA,NA,NA,NA,3,0,1.02,17,1.03,20,1.03,22,1.02,14.95
32,"27/05/14","1st Round","Kohlschreiber P.","Riba P.",24,84,1485,629,7,5,6,4,6,1,NA,NA,NA,NA,3,0,1.08,8,1.12,7.38,1.12,9,1.09,7.06
32,"27/05/14","1st Round","Istomin D.","Stakhovsky S.",49,93,915,600,6,3,6,4,2,6,6,3,NA,NA,3,1,1.36,3,1.41,3.17,1.43,3.25,1.38,2.98
32,"27/05/14","1st Round","Monaco J.","Pouille L.",76,190,675,268,6,3,6,1,6,4,NA,NA,NA,NA,3,0,1.12,5.5,1.14,6.7,1.15,7,1.13,5.95
32,"27/05/14","1st Round","Anderson K.","Robert S.",20,74,1710,695,7,5,6,3,6,4,NA,NA,NA,NA,3,0,1.33,3.25,1.37,3.33,1.4,3.4,1.34,3.18
32,"27/05/14","1st Round","Haider-Maurer A.","Brands D.",104,131,553,430,4,6,4,6,6,2,6,3,6,4,3,2,1.12,6,1.13,7.05,1.17,7,1.13,5.86
32,"27/05/14","1st Round","Gasquet R.","Tomic B.",13,80,2445,646,6,2,6,1,7,5,NA,NA,NA,NA,3,0,1.2,4.33,1.2,5.17,1.3,5.17,1.23,4.16
32,"27/05/14","1st Round","Bolelli S.","Arnaboldi A.",150,173,385,307,6,4,6,4,6,2,NA,NA,NA,NA,3,0,1.2,4.33,1.26,4.38,1.28,4.6,1.23,4.04
32,"27/05/14","1st Round","Lajovic D.","Delbonis F.",83,34,632,1138,6,3,6,2,6,3,NA,NA,NA,NA,3,0,4.33,1.2,4.65,1.24,5,1.3,4.39,1.2
32,"27/05/14","1st Round","Cuevas P.","Ebden M.",136,73,416,700,6,1,6,2,6,3,NA,NA,NA,NA,3,0,1.06,10,1.09,9.16,1.1,10.5,1.07,8.2
32,"27/05/14","1st Round","Zopp J.","Haas T.",335,18,133,2005,2,5,NA,NA,NA,NA,NA,NA,NA,NA,0,0,8.5,1.06,9.16,1.09,11,1.1,9.3,1.06
32,"27/05/14","1st Round","Sock J.","Almagro N.",75,22,678,1620,5,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,7,1.1,6.87,1.14,7.55,1.14,6.5,1.11
32,"27/05/14","1st Round","Murray A.","Golubev A.",8,53,4120,862,6,1,6,4,3,6,6,3,NA,NA,3,1,1.07,9,1.08,9.65,1.1,9.65,1.08,7.87
32,"27/05/14","1st Round","Verdasco F.","Llodra M.",25,153,1420,370,6,2,7,6,7,6,NA,NA,NA,NA,3,0,1.25,3.75,1.33,3.64,1.33,4,1.27,3.71
32,"27/05/14","1st Round","Monfils G.","Hanescu V.",28,85,1390,626,6,2,4,6,6,4,6,2,NA,NA,3,1,1.2,4.33,1.19,5.33,1.3,5.5,1.22,4.23
32,"27/05/14","1st Round","Matosevic M.","Brown D.",66,82,732,633,7,6,6,4,6,7,7,5,NA,NA,3,1,1.5,2.5,1.52,2.73,1.59,2.73,1.52,2.51
32,"27/05/14","1st Round","Struff J.L.","Olivetti A.",62,161,753,340,6,1,6,4,6,4,NA,NA,NA,NA,3,0,1.12,6,1.14,6.87,1.15,7,1.12,6.06
32,"28/05/14","1st Round","Johnson S.","Lokoli L.",64,406,748,104,4,6,6,7,7,6,6,3,6,3,3,2,1.25,3.75,1.29,4.05,1.3,4.05,1.27,3.68
32,"28/05/14","2nd Round","Gulbis E.","Bagnis F.",17,143,2050,398,6,2,7,5,6,0,NA,NA,NA,NA,3,0,1.06,9,1.07,11.25,1.1,11.25,1.07,8.19
32,"28/05/14","2nd Round","Granollers M.","Dolgopolov O.",229,21,210,1645,1,6,3,6,6,3,6,0,6,2,3,2,3.75,1.25,3.97,1.29,4.3,1.3,3.71,1.27
32,"28/05/14","2nd Round","Bautista R.","Paire B.",29,61,1330,760,6,4,7,6,6,2,NA,NA,NA,NA,3,0,1.16,5,1.23,4.69,1.23,5.75,1.17,4.97
32,"28/05/14","2nd Round","Stepanek R.","Youzhny M.",43,16,1040,2065,6,0,6,3,3,6,6,4,NA,NA,3,1,2.1,1.66,2.27,1.71,2.5,1.74,2.2,1.66
32,"28/05/14","2nd Round","Simon G.","Gonzalez A.",30,77,1225,675,6,4,6,0,6,2,NA,NA,NA,NA,3,0,1.12,6,1.16,6.28,1.17,6.3,1.14,5.63
32,"28/05/14","2nd Round","Tursunov D.","Querrey S.",32,67,1155,730,6,4,7,5,6,1,NA,NA,NA,NA,3,0,1.5,2.5,1.58,2.54,1.58,2.6,1.53,2.48
32,"28/05/14","2nd Round","Berdych T.","Nedovyesov A.",6,101,4330,591,6,7,6,4,7,5,6,3,NA,NA,3,1,1.03,15,1.04,15,1.04,23.25,1.02,14.1
32,"28/05/14","2nd Round","Klizan M.","Haase R.",59,50,795,910,6,1,3,6,6,1,1,6,7,5,3,2,1.36,3,1.45,3,1.45,3.25,1.38,2.98
32,"28/05/14","2nd Round","Djokovic N.","Chardy J.",2,42,11850,1060,6,1,6,4,6,2,NA,NA,NA,NA,3,0,1.01,21,1.01,22.22,1.01,33.5,1.01,17.58
32,"28/05/14","2nd Round","Cilic M.","Kamke T.",26,106,1410,547,6,3,3,6,6,3,6,0,NA,NA,3,1,1.08,8,1.09,9.48,1.1,9.48,1.09,7.48
32,"28/05/14","2nd Round","Raonic M.","Vesely J.",9,81,2975,641,7,6,6,4,6,1,NA,NA,NA,NA,3,0,1.22,4,1.31,3.85,1.31,4.05,1.25,3.84
32,"28/05/14","2nd Round","Federer R.","Schwartzman D.",4,109,5125,533,6,3,6,4,6,4,NA,NA,NA,NA,3,0,1.01,26,1.01,22.22,1.02,26,1.01,17.01
32,"28/05/14","2nd Round","Robredo T.","De Schepper K.",19,72,1900,704,6,2,6,3,6,3,NA,NA,NA,NA,3,0,1.07,8,1.1,8.6,1.1,9,1.08,7.81
32,"28/05/14","2nd Round","Tsonga J.W.","Melzer J.",14,56,2315,835,6,2,6,3,6,4,NA,NA,NA,NA,3,0,1.14,5.5,1.16,6.27,1.2,6.27,1.15,5.23
32,"28/05/14","2nd Round","Janowicz J.","Nieminen J.",23,60,1510,790,7,6,7,6,6,4,NA,NA,NA,NA,3,0,1.66,2.1,1.81,2.11,1.81,2.2,1.71,2.11
32,"28/05/14","2nd Round","Isner J.","Kukushkin M.",11,54,2600,859,6,7,7,6,6,3,7,6,NA,NA,3,1,1.22,4,1.27,4.22,1.27,4.5,1.24,4
32,"29/05/14","2nd Round","Ferrer D.","Bolelli S.",5,150,5030,385,6,2,6,3,6,2,NA,NA,NA,NA,3,0,1.02,19,1.03,20,1.04,23,1.02,14.44
32,"29/05/14","2nd Round","Karlovic I.","Haider-Maurer A.",37,104,1097,553,7,5,6,3,6,4,NA,NA,NA,NA,3,0,1.36,3,1.43,3.04,1.47,3.05,1.41,2.86
32,"29/05/14","2nd Round","Anderson K.","Michon A.",20,206,1710,238,6,2,6,3,6,2,NA,NA,NA,NA,3,0,1.08,8,1.08,9.65,1.12,9.65,1.09,7.48
32,"29/05/14","2nd Round","Young D.","Lopez F.",79,27,647,1395,6,3,7,6,6,3,NA,NA,NA,NA,3,0,3,1.36,3.17,1.41,3.25,1.41,3.05,1.37
32,"29/05/14","2nd Round","Garcia-Lopez G.","Mannarino A.",41,89,1063,612,6,4,6,3,4,6,6,0,NA,NA,3,1,1.12,6,1.17,5.87,1.17,6.5,1.14,5.58
32,"29/05/14","2nd Round","Mayer L.","Gabashvili T.",65,58,733,798,6,2,4,6,6,4,6,4,NA,NA,3,1,1.61,2.2,1.75,2.2,1.75,2.3,1.66,2.2
32,"29/05/14","2nd Round","Nadal R.","Thiem D.",1,57,12500,812,6,2,6,2,6,3,NA,NA,NA,NA,3,0,1.02,17,1.03,17.5,1.05,18,1.03,13.02
32,"29/05/14","2nd Round","Seppi A.","Monaco J.",33,76,1150,675,6,2,6,4,6,4,NA,NA,NA,NA,3,0,2,1.72,2.14,1.79,2.15,1.8,2.08,1.73
32,"29/05/14","2nd Round","Lajovic D.","Zopp J.",83,335,632,133,6,2,6,4,6,4,NA,NA,NA,NA,3,0,1.12,6,1.15,6.34,1.17,6.34,1.15,5.4
32,"29/05/14","2nd Round","Gasquet R.","Berlocq C.",13,47,2445,975,7,6,6,4,6,4,NA,NA,NA,NA,3,0,1.66,2.1,1.68,2.32,1.71,2.4,1.63,2.25
32,"29/05/14","2nd Round","Kohlschreiber P.","Istomin D.",24,49,1485,915,6,3,7,6,6,2,NA,NA,NA,NA,3,0,1.28,3.5,1.33,3.64,1.36,3.7,1.32,3.33
32,"29/05/14","2nd Round","Murray A.","Matosevic M.",8,66,4120,732,6,3,6,1,6,3,NA,NA,NA,NA,3,0,1.04,13,1.05,13,1.07,13,1.05,10.54
32,"29/05/14","2nd Round","Sock J.","Johnson S.",75,64,678,748,7,5,6,4,6,2,NA,NA,NA,NA,3,0,1.72,2,1.81,2.12,1.81,2.14,1.75,2.05
32,"29/05/14","2nd Round","Verdasco F.","Cuevas P.",25,136,1420,416,4,6,6,7,7,5,6,4,6,3,3,2,1.33,3.25,1.42,3.11,1.42,3.3,1.35,3.13
32,"29/05/14","2nd Round","Fognini F.","Bellucci T.",15,108,2155,540,6,3,6,4,7,6,NA,NA,NA,NA,3,0,1.18,4.5,1.22,4.85,1.24,5.2,1.19,4.53
32,"29/05/14","2nd Round","Monfils G.","Struff J.L.",28,62,1390,753,7,6,6,4,6,1,NA,NA,NA,NA,3,0,1.18,4.5,1.21,5,1.24,5,1.2,4.44
32,"30/05/14","3rd Round","Gulbis E.","Stepanek R.",17,43,2050,1040,6,3,6,2,7,5,NA,NA,NA,NA,3,0,1.14,5.5,1.18,5.92,1.18,6.25,1.16,5.25
32,"30/05/14","3rd Round","Federer R.","Tursunov D.",4,32,5125,1155,7,5,6,7,6,2,6,4,NA,NA,3,1,1.05,11,1.07,12,1.07,12.25,1.05,10.05
32,"30/05/14","3rd Round","Djokovic N.","Cilic M.",2,26,11850,1410,6,3,6,2,6,7,6,4,NA,NA,3,1,1.02,19,1.03,19,1.04,24.55,1.03,14.05
32,"30/05/14","3rd Round","Isner J.","Robredo T.",11,19,2600,1900,7,6,7,6,6,7,7,5,NA,NA,3,1,2.62,1.44,2.65,1.56,2.75,1.62,2.52,1.52
32,"30/05/14","3rd Round","Berdych T.","Bautista R.",6,29,4330,1330,6,1,6,2,6,7,6,4,NA,NA,3,1,1.36,3,1.43,3.14,1.45,3.14,1.41,2.87
32,"30/05/14","3rd Round","Tsonga J.W.","Janowicz J.",14,23,2315,1510,6,4,6,4,6,3,NA,NA,NA,NA,3,0,1.18,4.5,1.22,4.92,1.22,5.1,1.19,4.54
32,"30/05/14","3rd Round","Raonic M.","Simon G.",9,30,2975,1225,4,6,6,3,2,6,6,2,7,5,3,2,1.38,2.87,1.45,3.01,1.46,3.05,1.43,2.79
32,"31/05/14","3rd Round","Lajovic D.","Sock J.",83,75,632,678,6,4,7,5,6,3,NA,NA,NA,NA,3,0,2.5,1.5,2.56,1.59,2.56,1.67,2.41,1.56
32,"31/05/14","3rd Round","Ferrer D.","Seppi A.",5,33,5030,1150,6,2,7,6,6,3,NA,NA,NA,NA,3,0,1.03,15,1.04,17,1.07,17,1.05,10.92
32,"31/05/14","3rd Round","Anderson K.","Karlovic I.",20,37,1710,1097,6,3,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1.44,2.62,1.47,2.94,1.62,3,1.46,2.69
32,"31/05/14","3rd Round","Granollers M.","Klizan M.",229,59,210,795,6,7,6,2,7,6,7,5,NA,NA,3,1,3,1.36,3.28,1.4,3.28,1.44,2.94,1.39
32,"31/05/14","3rd Round","Monfils G.","Fognini F.",28,15,1390,2155,5,7,6,2,6,4,0,6,6,2,3,2,1.9,1.8,1.99,1.93,2.1,1.96,1.95,1.84
32,"31/05/14","3rd Round","Nadal R.","Mayer L.",1,65,12500,733,6,2,7,5,6,2,NA,NA,NA,NA,3,0,1,41,1.01,41,1.02,48.25,1.01,21.47
32,"31/05/14","3rd Round","Garcia-Lopez G.","Young D.",41,79,1063,647,6,2,6,4,2,6,6,7,6,4,3,2,1.16,5,1.2,5.37,1.22,5.65,1.18,4.82
32,"01/06/14","3rd Round","Verdasco F.","Gasquet R.",25,13,1420,2445,6,3,6,2,6,3,NA,NA,NA,NA,3,0,2.1,1.66,2.18,1.78,2.2,1.82,2.07,1.74
32,"01/06/14","3rd Round","Murray A.","Kohlschreiber P.",8,24,4120,1485,3,6,6,3,6,3,4,6,12,10,3,2,1.38,2.87,1.44,3.06,1.49,3.06,1.43,2.8
32,"01/06/14","4th Round","Berdych T.","Isner J.",6,11,4330,2600,6,4,6,4,6,4,NA,NA,NA,NA,3,0,1.22,4.33,1.24,4.72,1.26,4.72,1.23,4.08
32,"01/06/14","4th Round","Gulbis E.","Federer R.",17,4,2050,5125,6,7,7,6,6,2,4,6,6,3,3,2,2.75,1.44,2.77,1.52,2.88,1.54,2.68,1.46
32,"01/06/14","4th Round","Raonic M.","Granollers M.",9,229,2975,210,6,3,6,3,6,3,NA,NA,NA,NA,3,0,1.2,4.5,1.19,5.69,1.21,5.69,1.18,4.77
32,"01/06/14","4th Round","Djokovic N.","Tsonga J.W.",2,14,11850,2315,6,1,6,4,6,1,NA,NA,NA,NA,3,0,1.1,7,1.13,7.85,1.15,7.85,1.11,6.48
32,"02/06/14","4th Round","Ferrer D.","Anderson K.",5,20,5030,1710,6,3,6,3,6,7,6,1,NA,NA,3,1,1.08,8,1.08,10.5,1.1,10.5,1.07,8.22
32,"02/06/14","4th Round","Nadal R.","Lajovic D.",1,83,12500,632,6,1,6,2,6,1,NA,NA,NA,NA,3,0,1.002,29,1.02,25.5,1.02,43.5,1.01,21.39
32,"02/06/14","4th Round","Murray A.","Verdasco F.",8,25,4120,1420,6,4,7,5,7,6,NA,NA,NA,NA,3,0,1.61,2.25,1.73,2.26,1.73,2.38,1.63,2.25
32,"02/06/14","4th Round","Monfils G.","Garcia-Lopez G.",28,41,1390,1063,6,0,6,2,7,5,NA,NA,NA,NA,3,0,1.53,2.5,1.57,2.62,1.63,2.62,1.58,2.38
32,"03/06/14","Quarterfinals","Djokovic N.","Raonic M.",2,9,11850,2975,7,5,7,6,6,4,NA,NA,NA,NA,3,0,1.07,9,1.08,10.5,1.12,11.13,1.08,8.32
32,"03/06/14","Quarterfinals","Gulbis E.","Berdych T.",17,6,2050,4330,6,3,6,2,6,4,NA,NA,NA,NA,3,0,2.3,1.61,2.44,1.64,2.44,1.71,2.27,1.64
32,"04/06/14","Quarterfinals","Murray A.","Monfils G.",8,28,4120,1390,6,4,6,1,4,6,1,6,6,0,3,2,1.5,2.62,1.58,2.58,1.58,2.75,1.51,2.56
32,"04/06/14","Quarterfinals","Nadal R.","Ferrer D.",1,5,12500,5030,4,6,6,4,6,0,6,1,NA,NA,3,1,1.14,5.5,1.2,5.37,1.2,5.54,1.17,5.11
32,"06/06/14","Semifinals","Djokovic N.","Gulbis E.",2,17,11850,2050,6,3,6,3,3,6,6,3,NA,NA,3,1,1.1,7,1.13,7.66,1.15,7.85,1.12,6.52
32,"06/06/14","Semifinals","Nadal R.","Murray A.",1,8,12500,4120,6,3,6,2,6,1,NA,NA,NA,NA,3,0,1.12,6,1.13,7.72,1.2,7.75,1.13,6.13
32,"08/06/14","The Final","Nadal R.","Djokovic N.",1,2,12500,11850,3,6,7,5,6,2,6,4,NA,NA,3,1,1.66,2.2,1.74,2.28,1.75,2.5,1.68,2.23
33,"24/05/15","1st Round","Bautista R.","Mayer F.",20,527,1750,63,6,3,6,1,6,3,NA,NA,NA,NA,3,0,1.11,6.5,1.13,7.41,1.15,7.54,1.12,6.12
33,"24/05/15","1st Round","Dzumhur D.","Youzhny M.",88,68,601,720,6,2,6,1,NA,NA,NA,NA,NA,NA,2,0,2.25,1.57,2.27,1.71,2.3,1.75,2.21,1.64
33,"24/05/15","1st Round","Kohlschreiber P.","Soeda G.",28,92,1285,575,6,1,6,0,6,2,NA,NA,NA,NA,3,0,1.04,13,1.04,16,1.06,16,1.04,11.54
33,"24/05/15","1st Round","Rosol L.","Ymer E.",43,175,1035,283,6,2,7,6,6,3,NA,NA,NA,NA,3,0,1.44,2.62,1.42,3.11,1.5,3.11,1.45,2.7
33,"24/05/15","1st Round","Baghdatis M.","Karlovic I.",59,25,832,1330,7,6,6,4,6,4,NA,NA,NA,NA,3,0,2,1.72,2.11,1.81,2.11,1.85,2,1.78
33,"24/05/15","1st Round","Federer R.","Falla A.",2,109,9235,485,6,3,6,3,6,4,NA,NA,NA,NA,3,0,1.01,21,1.02,24.52,1.02,36,1.01,18.03
33,"24/05/15","1st Round","Wawrinka S.","Ilhan M.",9,81,3845,647,6,3,6,2,6,3,NA,NA,NA,NA,3,0,1.02,17,1.03,20,1.04,25.21,1.02,15.89
33,"24/05/15","1st Round","Granollers M.","Bachinger M.",57,124,845,431,6,4,6,3,7,6,NA,NA,NA,NA,3,0,1.44,2.62,1.58,2.54,1.58,2.9,1.47,2.64
33,"24/05/15","1st Round","Andujar P.","Ramos-Vinolas A.",42,63,1050,780,6,2,6,4,7,6,NA,NA,NA,NA,3,0,1.4,2.75,1.47,2.9,1.5,2.92,1.43,2.75
33,"24/05/15","1st Round","Mahut N.","Coppejans K.",116,107,469,494,6,3,6,4,7,6,NA,NA,NA,NA,3,0,3,1.36,3.56,1.34,3.64,1.42,3,1.38
33,"24/05/15","1st Round","Gulbis E.","Sijsling I.",29,166,1275,311,6,4,6,4,7,6,NA,NA,NA,NA,3,0,1.36,3,1.36,3.44,1.4,3.46,1.34,3.2
33,"24/05/15","1st Round","Nishikori K.","Mathieu P.H.",5,125,5220,429,6,3,7,5,6,1,NA,NA,NA,NA,3,0,1.02,19,1.02,22.73,1.03,26,1.02,16.48
33,"24/05/15","1st Round","Lajovic D.","Gonzalez M.",67,114,730,471,6,3,6,3,6,1,NA,NA,NA,NA,3,0,1.25,3.75,1.28,4.14,1.29,4.14,1.26,3.8
33,"24/05/15","1st Round","Johnson S.","Garcia-Lopez G.",56,24,850,1335,6,3,6,3,6,7,3,6,6,3,3,2,5,1.16,5.24,1.2,5.25,1.22,4.58,1.19
33,"24/05/15","1st Round","Tsonga J.W.","Lindell C.",15,214,2045,225,6,1,6,2,6,2,NA,NA,NA,NA,3,0,1.02,17,1.03,20,1.04,20,1.02,14.14
33,"24/05/15","1st Round","Sela D.","Kukushkin M.",91,58,580,842,7,6,6,3,7,6,NA,NA,NA,NA,3,0,8,1.08,10.15,1.08,10.15,1.14,7.57,1.08
33,"25/05/15","1st Round","Becker B.","Bemelmans R.",48,95,965,546,6,3,6,7,2,6,7,6,6,2,3,2,1.66,2.1,1.91,2,1.91,2.16,1.77,2.02
33,"25/05/15","1st Round","Stepanek R.","Dodig I.",129,119,422,466,5,7,6,3,6,4,6,1,NA,NA,3,1,3,1.36,3.1,1.42,3.1,1.44,2.94,1.39
33,"25/05/15","1st Round","Fognini F.","Ito T.",27,106,1295,494,6,3,6,2,6,2,NA,NA,NA,NA,3,0,1.03,15,1.04,16,1.05,16,1.03,12.28
33,"25/05/15","1st Round","Monaco J.","Delbonis F.",35,82,1170,627,6,7,6,2,6,1,6,7,6,2,3,2,1.66,2.1,1.78,2.16,1.78,2.4,1.66,2.19
33,"25/05/15","1st Round","Berdych T.","Nishioka Y.",4,146,5230,360,6,0,7,5,6,3,NA,NA,NA,NA,3,0,NA,34,1.01,29.16,1.02,41,1.01,19.35
33,"25/05/15","1st Round","Klizan M.","Tiafoe F.",36,287,1170,168,6,2,6,1,6,4,NA,NA,NA,NA,3,0,1.18,4.5,1.18,5.63,1.21,5.63,1.18,4.79
33,"25/05/15","1st Round","Cuevas P.","Groth S.",23,72,1502,691,6,7,6,3,6,3,6,3,NA,NA,3,1,1.07,9,1.07,11.25,1.09,11.25,1.06,8.97
33,"25/05/15","1st Round","Gabashvili T.","Lopez F.",74,12,677,2280,6,3,7,6,6,3,NA,NA,NA,NA,3,0,2.2,1.61,2.42,1.64,2.45,1.66,2.31,1.6
33,"25/05/15","1st Round","Stakhovsky S.","Berankis R.",54,93,894,573,6,2,7,5,6,1,NA,NA,NA,NA,3,0,1.53,2.37,1.59,2.52,1.64,2.52,1.57,2.37
33,"25/05/15","1st Round","Verdasco F.","Daniel T.",34,168,1180,303,6,3,6,4,6,2,NA,NA,NA,NA,3,0,1.12,6,1.14,6.8,1.15,6.8,1.12,5.9
33,"25/05/15","1st Round","Paire B.","Elias G.",71,152,698,342,5,7,6,3,4,6,6,4,6,2,3,2,1.4,2.75,1.5,2.8,1.5,3.1,1.41,2.84
33,"25/05/15","1st Round","Tomic B.","Vanni L.",26,102,1320,505,6,3,3,6,6,3,6,4,NA,NA,3,1,1.57,2.25,1.7,2.29,1.7,2.3,1.63,2.24
33,"25/05/15","1st Round","Thiem D.","Bedene A.",31,75,1225,668,6,3,6,4,6,7,6,3,NA,NA,3,1,1.4,2.75,1.47,2.89,1.47,3.1,1.41,2.82
