"ATP","Date","Round","Winner","Loser","WRank","LRank","WPts","LPts","W1","L1","W2","L2","W3","L3","W4","L4","W5","L5","Wsets","Lsets","B365W","B365L","PSW","PSL","MaxW","MaxL","AvgW","AvgL"
32,"27/05/13","1st Round","Rosol L.","Riba P.",36,479,1086,70,6,3,6,4,6,4,NA,NA,NA,NA,3,0,1.36,3,1.39,3.27,1.4,3.35,1.36,3.09
32,"27/05/13","1st Round","Fognini F.","Beck A.",29,62,1345,980,6,3,7,5,6,3,NA,NA,NA,NA,3,0,1.14,5.5,1.17,5.8,1.19,6.3,1.15,5.4
32,"27/05/13","1st Round","Gimeno-Traver D.","Monaco J.",49,17,857,1910,4,6,4,6,7,6,6,4,6,4,3,2,7,1.1,7.04,1.13,7.3,1.19,5.72,1.14
32,"27/05/13","1st Round","Nieminen J.","Mathieu P.H.",38,69,1075,708,6,4,4,6,7,6,4,6,6,2,3,2,1.5,2.5,1.59,2.52,1.6,2.8,1.5,2.56
32,"27/05/13","1st Round","Gulbis E.","Dutra Silva R.",40,94,991,575,6,1,7,6,6,3,NA,NA,NA,NA,3,0,1.06,10,1.07,10.25,1.09,11,1.07,8.66
32,"27/05/13","1st Round","Gasquet R.","Stakhovsky S.",9,101,3090,555,6,1,6,4,6,3,NA,NA,NA,NA,3,0,1.05,11,1.11,8.36,1.11,14,1.05,9.97
32,"27/05/13","1st Round","Haase R.","De Schepper K.",66,91,727,584,6,4,7,6,2,6,6,3,NA,NA,3,1,1.28,3.5,1.32,3.74,1.35,3.74,1.31,3.43
32,"27/05/13","1st Round","Monfils G.","Berdych T.",81,6,640,4685,7,6,6,4,6,7,6,7,7,5,3,2,4.5,1.18,4.26,1.27,5.5,1.27,4.18,1.23
32,"27/05/13","1st Round","Isner J.","Berlocq C.",21,71,1690,690,6,3,6,4,6,4,NA,NA,NA,NA,3,0,2.1,1.66,2.4,1.65,2.4,1.83,2.1,1.71
32,"27/05/13","1st Round","Montanes A.","Johnson S.",47,130,880,423,6,4,3,6,6,3,3,6,6,1,3,2,1.16,5,1.18,5.65,1.25,5.9,1.18,4.69
32,"27/05/13","1st Round","Przysiezny M.","Williams R.",133,121,410,443,6,3,6,7,7,5,7,5,NA,NA,3,1,1.72,2,1.92,1.99,1.95,2.1,1.79,1.98
32,"27/05/13","1st Round","Janowicz J.","Ramos A.",23,64,1524,750,7,6,7,5,6,3,NA,NA,NA,NA,3,0,1.66,2.1,1.69,2.29,1.8,2.34,1.7,2.11
32,"28/05/13","1st Round","Dimitrov G.","Falla A.",28,74,1355,676,6,4,1,0,NA,NA,NA,NA,NA,NA,1,0,1.07,9,1.09,9.16,1.13,9.4,1.09,7.39
32,"28/05/13","1st Round","Hanescu V.","Tomic B.",54,61,815,775,7,5,7,6,2,1,NA,NA,NA,NA,2,0,1.4,2.75,1.51,2.75,1.51,3.15,1.42,2.79
32,"28/05/13","1st Round","Youzhny M.","Andujar P.",31,45,1265,905,4,6,6,4,6,2,6,3,NA,NA,3,1,1.8,1.9,1.88,2.02,2,2.02,1.86,1.9
32,"28/05/13","1st Round","Delbonis F.","Reister J.",125,150,435,346,6,7,6,1,6,0,6,4,NA,NA,3,1,2.5,1.5,2.48,1.61,2.6,1.62,2.44,1.54
32,"28/05/13","1st Round","Tursunov D.","Dolgopolov O.",60,24,794,1500,7,6,6,4,7,6,NA,NA,NA,NA,3,0,4.5,1.18,4.99,1.21,4.99,1.24,4.36,1.21
32,"28/05/13","1st Round","Pouille L.","Kuznetsov Al.",324,171,131,300,6,1,7,6,6,2,NA,NA,NA,NA,3,0,2.5,1.5,2.59,1.56,2.62,1.59,2.44,1.54
32,"28/05/13","1st Round","Sock J.","Garcia-Lopez G.",118,79,460,646,6,2,6,2,7,5,NA,NA,NA,NA,3,0,3.5,1.28,3.35,1.38,3.95,1.38,3.43,1.31
32,"28/05/13","1st Round","Haas T.","Rufin G.",14,98,2340,567,7,6,6,1,6,3,NA,NA,NA,NA,3,0,1.18,4.5,1.26,4.38,1.26,5,1.2,4.46
32,"28/05/13","1st Round","Davydenko N.","Serra F.",48,131,870,419,6,3,6,4,7,5,NA,NA,NA,NA,3,0,1.18,4.5,1.25,4.46,1.25,4.95,1.22,4.26
32,"28/05/13","1st Round","Lu Y.H.","Bolelli S.",76,88,675,603,6,4,6,4,2,1,NA,NA,NA,NA,2,0,1.33,3.25,1.38,3.32,1.5,3.65,1.38,3.01
32,"28/05/13","1st Round","Istomin D.","Mayer F.",42,30,935,1290,4,6,6,3,7,5,NA,NA,NA,NA,2,1,2.37,1.53,2.47,1.61,2.75,1.65,2.38,1.57
32,"28/05/13","1st Round","Pella G.","Dodig I.",83,51,635,843,4,6,6,4,6,3,2,6,12,10,3,2,2.75,1.4,3,1.45,3.05,1.53,2.71,1.45
32,"28/05/13","1st Round","Kohlschreiber P.","Vesely J.",19,127,1750,429,7,6,1,6,7,5,6,2,NA,NA,3,1,1.18,4.5,1.3,3.92,1.3,5,1.23,4.16
32,"28/05/13","1st Round","Wawrinka S.","De Bakker T.",10,95,2630,572,7,5,6,3,6,7,7,5,NA,NA,3,1,1.06,10,1.09,9.16,1.1,11,1.07,8.51
32,"28/05/13","1st Round","Djokovic N.","Goffin D.",1,58,12310,797,7,6,6,4,7,5,NA,NA,NA,NA,3,0,1.002,29,1.01,29.16,1.02,39,1.01,20.42
32,"28/05/13","1st Round","Verdasco F.","Gicquel M.",53,126,830,431,6,2,6,3,6,1,NA,NA,NA,NA,3,0,1.12,6,1.22,4.97,1.22,7.1,1.15,5.35
32,"29/05/13","1st Round","Tipsarevic J.","Mahut N.",12,173,2480,298,6,2,7,6,6,1,NA,NA,NA,NA,3,0,1.18,4.5,1.19,5.35,1.22,5.5,1.18,4.7
32,"29/05/13","1st Round","Kubot L.","Teixeira M.",107,284,514,160,6,4,5,7,7,6,6,2,NA,NA,3,1,1.33,3.25,1.4,3.22,1.43,3.55,1.36,3.09
32,"29/05/13","1st Round","Paire B.","Baghdatis M.",26,39,1405,1030,3,6,7,6,6,4,6,4,NA,NA,3,1,1.18,4.5,1.21,5.08,1.22,5.5,1.19,4.6
32,"29/05/13","1st Round","Zeballos H.","Pospisil V.",46,103,884,533,7,6,6,4,6,7,2,6,8,6,3,2,1.44,2.62,1.53,2.68,1.6,2.74,1.53,2.48
32,"29/05/13","2nd Round","Cilic M.","Kyrgios N.",11,262,2570,175,6,4,6,2,6,2,NA,NA,NA,NA,3,0,1.07,9,1.07,11.25,1.1,11.5,1.07,8.79
32,"29/05/13","2nd Round","Ferrer D.","Montanes A.",5,47,6740,880,6,2,6,1,6,3,NA,NA,NA,NA,3,0,1.04,13,1.04,15,1.05,17,1.04,11.98
32,"29/05/13","2nd Round","Troicki V.","Gimeno-Traver D.",57,49,800,857,4,6,7,6,6,0,6,7,6,4,3,2,1.66,2.1,1.65,2.37,1.8,2.45,1.67,2.18
32,"29/05/13","2nd Round","Lopez F.","Sousa J.",43,119,930,447,3,6,6,3,6,4,6,4,NA,NA,3,1,1.36,3,1.43,3.05,1.43,3.8,1.35,3.17
32,"29/05/13","2nd Round","Anderson K.","Donskoy E.",25,82,1420,639,6,7,6,1,7,5,6,2,NA,NA,3,1,1.08,8,1.1,8.52,1.11,9.8,1.09,7.36
32,"29/05/13","2nd Round","Tsonga J.W.","Nieminen J.",8,38,3795,1075,7,6,6,4,6,3,NA,NA,NA,NA,3,0,1.12,6,1.13,7.45,1.15,7.5,1.13,5.86
32,"29/05/13","2nd Round","Seppi A.","Kavcic B.",22,104,1530,529,6,0,7,6,6,7,4,6,6,3,3,2,1.36,3,1.36,3.44,1.45,3.44,1.4,2.91
32,"29/05/13","2nd Round","Robredo T.","Sijsling I.",34,62,1095,762,6,7,4,6,6,3,6,1,6,1,3,2,1.25,3.75,1.32,3.74,1.32,4.4,1.27,3.72
32,"29/05/13","2nd Round","Simon G.","Cuevas P.",18,762,1895,21,6,7,6,1,6,1,6,1,NA,NA,3,1,1.08,8,1.12,7.67,1.15,9.5,1.09,7.35
32,"29/05/13","2nd Round","Raonic M.","Llodra M.",16,55,2225,814,7,5,3,6,7,6,6,2,NA,NA,3,1,1.28,3.5,1.36,3.44,1.36,4.5,1.29,3.6
32,"29/05/13","2nd Round","Chardy J.","Bautista R.",27,68,1371,714,6,1,7,5,6,4,NA,NA,NA,NA,3,0,1.3,3.4,1.39,3.27,1.4,3.75,1.36,3.12
32,"29/05/13","2nd Round","Benneteau J.","Kamke T.",32,72,1200,686,7,6,7,5,5,7,0,6,6,4,3,2,1.33,3.25,1.3,3.92,1.4,4.05,1.3,3.47
32,"29/05/13","2nd Round","Monfils G.","Gulbis E.",81,40,640,991,6,7,6,4,7,6,6,2,NA,NA,3,1,2.1,1.66,2.25,1.72,2.34,1.82,2.13,1.7
32,"29/05/13","2nd Round","Almagro N.","Roger-Vasselin E.",13,65,2375,736,6,2,6,4,6,3,NA,NA,NA,NA,3,0,1.16,5,1.19,5.42,1.2,6.3,1.17,4.93
32,"29/05/13","2nd Round","Querrey S.","Hajek J.",20,87,1730,605,6,4,7,5,6,4,NA,NA,NA,NA,3,0,1.44,2.62,1.58,2.55,1.6,2.7,1.52,2.51
32,"29/05/13","2nd Round","Federer R.","Devvarman S.",3,188,8000,269,6,2,6,1,6,1,NA,NA,NA,NA,3,0,1.02,29,1.01,29.16,1.02,43.5,1.01,21.32
32,"30/05/13","2nd Round","Kohlschreiber P.","Lu Y.H.",19,76,1750,675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05,11,1.07,11.25,1.08,13,1.05,9.91
32,"30/05/13","2nd Round","Dimitrov G.","Pouille L.",28,324,1355,131,6,1,7,6,6,1,NA,NA,NA,NA,3,0,1.04,13,1.05,13,1.06,15,1.04,10.82
32,"30/05/13","2nd Round","Nishikori K.","Zemlja G.",15,50,2315,857,6,1,5,7,6,1,6,4,NA,NA,3,1,1.12,6,1.17,5.91,1.17,6.7,1.14,5.68
32,"30/05/13","2nd Round","Hanescu V.","Tursunov D.",54,60,815,794,6,4,6,6,NA,NA,NA,NA,NA,NA,1,0,1.57,2.25,1.66,2.37,1.71,2.42,1.62,2.27
32,"30/05/13","2nd Round","Fognini F.","Rosol L.",29,36,1345,1086,6,2,7,6,2,6,6,1,NA,NA,3,1,1.44,2.62,1.54,2.67,1.55,2.75,1.5,2.57
32,"30/05/13","2nd Round","Djokovic N.","Pella G.",1,83,12310,635,6,2,6,0,6,2,NA,NA,NA,NA,3,0,1,41,1.01,41,1.02,46,1.01,22.77
32,"30/05/13","2nd Round","Paire B.","Kubot L.",26,107,1405,514,7,6,6,2,6,4,NA,NA,NA,NA,3,0,1.16,5,1.19,5.42,1.2,5.9,1.17,4.93
32,"31/05/13","2nd Round","Youzhny M.","Delbonis F.",31,125,1265,435,6,3,6,7,7,5,6,4,NA,NA,3,1,1.33,3.25,1.41,3.17,1.41,3.75,1.32,3.32
32,"31/05/13","2nd Round","Haas T.","Sock J.",14,118,2340,460,7,6,6,2,7,5,NA,NA,NA,NA,3,0,1.14,5.5,1.16,6.09,1.17,6.7,1.14,5.7
32,"31/05/13","2nd Round","Janowicz J.","Haase R.",23,66,1524,727,6,4,4,6,6,4,6,3,NA,NA,3,1,1.28,3.5,1.35,3.55,1.35,3.75,1.29,3.55
32,"31/05/13","2nd Round","Isner J.","Harrison R.",21,92,1690,579,5,7,6,7,6,3,6,1,8,6,3,2,1.28,3.5,1.34,3.56,1.35,3.9,1.3,3.5
32,"31/05/13","2nd Round","Davydenko N.","Istomin D.",48,42,870,935,6,4,7,5,6,2,NA,NA,NA,NA,3,0,1.36,3,1.42,3.14,1.44,3.25,1.38,2.98
32,"31/05/13","2nd Round","Gasquet R.","Przysiezny M.",9,133,3090,410,6,3,6,3,6,0,NA,NA,NA,NA,3,0,1.02,19,1.03,20,1.04,23.9,1.02,14.71
32,"31/05/13","2nd Round","Tipsarevic J.","Verdasco F.",12,53,2480,830,7,6,6,1,3,6,5,7,8,6,3,2,2.1,1.66,2.2,1.75,2.33,1.8,2.12,1.7
32,"31/05/13","2nd Round","Nadal R.","Klizan M.",4,35,6895,1090,4,6,6,3,6,3,6,3,NA,NA,3,1,1,41,1.01,61,1.01,71,1.01,28.76
