Round_num,Winner_Id,Loser_Id,WRank,LRank,WPts,LPts,Wsets,Lsets,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,SetsTotales,LabelWinnerRank,LabelWinnerPoints,LabelWinnerOddsB65,LabelWinnerOddsPS,LabelWinnerOddsMAX,LabelWinnerOddsAvg,WinnerRoundsWon,LoserRoundsWon,LabelWinnerRounds,LabelWinnerRoundsAndOddsAvg,WinnerRoundsLost,LoserRoundsLost,WinnerRoundsPlayed,LoserRoundsPlayed,LabelWinnerRoundsWonOverAll,LabelLoserRoundsWonOverAll
1,101,179,12,57.0,2725,825.0,3.0,0.0,1.14,5.5,1.18,5.76,1.22,5.8,1.15,5.26,3,1.0,1.0,1,1,1,1,6,1,1,1,1,2,7,3,0.8571,0.3333
1,91,123,47,67.0,935,758.0,3.0,0.0,1.28,3.5,1.31,3.85,1.33,3.85,1.29,3.51,3,1.0,1.0,1,1,1,1,5,4,1,1,1,2,6,6,0.8333,0.6667
1,216,193,72,236.0,751,229.0,3.0,1.0,1.61,2.2,1.68,2.34,1.68,2.34,1.64,2.23,4,1.0,1.0,1,1,1,1,2,0,1,1,2,3,4,3,0.5,0.0
1,14,159,66,129.0,765,452.0,3.0,1.0,1.44,2.62,1.55,2.64,1.55,2.65,1.49,2.58,4,1.0,1.0,1,1,1,1,5,0,1,1,2,1,7,1,0.7143,0.0
1,194,265,8,46.0,2850,955.0,3.0,0.0,1.07,9.0,1.08,9.87,1.09,9.87,1.07,8.28,3,1.0,1.0,1,1,1,1,2,0,1,1,1,3,3,3,0.6667,0.0
1,226,47,22,662.0,1625,40.0,3.0,0.0,1.36,3.0,1.39,3.28,1.44,3.28,1.36,3.06,3,1.0,1.0,1,1,1,1,1,0,1,1,3,1,4,1,0.25,0.0
1,212,4,87,71.0,670,751.0,3.0,0.0,1.5,2.5,1.59,2.52,1.59,2.62,1.53,2.47,3,0.0,0.0,1,1,1,1,2,0,1,1,0,1,2,1,1.0,0.0
1,144,163,15,69.0,2430,755.0,3.0,1.0,1.06,10.0,1.05,13.89,1.06,13.89,1.05,10.52,4,1.0,1.0,1,1,1,1,5,0,1,1,2,1,7,1,0.7143,0.0
1,49,39,23,117.0,1550,518.0,3.0,1.0,1.22,4.0,1.24,4.55,1.29,4.55,1.24,3.99,4,1.0,1.0,1,1,1,1,2,1,1,1,4,2,6,3,0.3333,0.3333
1,127,274,161,198.0,331,275.0,3.0,0.0,1.36,3.0,1.42,3.14,1.44,3.2,1.38,2.99,3,1.0,1.0,1,1,1,1,1,0,1,1,1,1,2,1,0.5,0.0
1,44,137,5,100.0,5675,585.0,3.0,0.0,1.005,34.0,1.01,41.0,1.01,49.75,1.01,23.44,3,1.0,1.0,1,1,1,1,7,0,1,1,0,1,7,1,1.0,0.0
1,242,161,31,548.0,1266,59.0,3.0,1.0,1.16,5.0,1.21,5.11,1.27,5.11,1.2,4.49,4,1.0,1.0,1,1,1,1,4,1,1,1,2,2,6,3,0.6667,0.3333
1,184,150,17,61.0,1965,796.0,3.0,1.0,1.16,5.0,1.21,5.0,1.21,5.25,1.18,4.74,4,1.0,1.0,1,1,1,1,6,0,1,1,0,6,6,6,1.0,0.0
1,199,166,2,128.0,8435,459.0,3.0,2.0,1.02,19.0,1.02,21.68,1.03,27.25,1.02,16.32,5,1.0,1.0,1,1,1,1,2,0,1,1,1,1,3,1,0.6667,0.0
1,60,17,154,111.0,347,547.0,3.0,0.0,1.66,2.1,1.87,2.04,1.93,2.15,1.79,2.01,3,0.0,0.0,1,1,1,1,1,1,0,1,4,1,5,2,0.2,0.5
1,69,280,99,143.0,590,383.0,3.0,0.0,1.66,2.1,1.68,2.33,1.8,2.33,1.66,2.19,3,1.0,1.0,1,1,1,1,2,0,1,1,1,1,3,1,0.6667,0.0
1,62,134,43,35.0,995,1165.0,3.0,1.0,2.37,1.53,2.41,1.64,2.45,1.64,2.34,1.58,4,0.0,0.0,0,0,0,0,6,4,1,1,1,3,7,7,0.8571,0.5714
1,122,28,27,155.0,1450,342.0,3.0,1.0,1.11,6.5,1.11,8.2,1.13,8.5,1.1,6.93,4,1.0,1.0,1,1,1,1,7,0,1,1,0,1,7,1,1.0,0.0
1,270,36,29,73.0,1275,747.0,3.0,1.0,1.53,2.37,1.75,2.2,1.75,2.45,1.61,2.3,4,1.0,1.0,1,1,1,1,3,1,1,1,4,3,7,4,0.4286,0.25
1,103,189,51,120.0,865,506.0,3.0,1.0,1.18,4.5,1.31,3.85,1.31,4.75,1.23,4.14,4,1.0,1.0,1,1,1,1,3,0,1,1,1,1,4,1,0.75,0.0
1,164,222,1,95.0,16150,602.0,3.0,0.0,1.0,51.0,1.01,71.0,1.01,71.0,1.01,29.7,3,1.0,1.0,1,1,1,1,7,0,1,1,0,2,7,2,1.0,0.0
1,52,243,39,42.0,1067,1020.0,3.0,0.0,1.33,3.25,1.43,3.05,1.43,3.25,1.38,2.99,3,1.0,1.0,1,1,1,1,1,0,1,1,2,3,3,3,0.3333,0.0
1,183,229,49,26.0,899,1485.0,3.0,1.0,2.75,1.4,3.3,1.37,3.3,1.5,2.72,1.45,4,0.0,0.0,0,0,0,0,2,2,0,0,0,4,2,6,1.0,0.3333
1,63,253,44,50.0,976,885.0,3.0,0.0,1.57,2.25,1.72,2.25,1.83,2.48,1.61,2.28,3,1.0,1.0,1,1,1,1,2,2,0,1,2,5,4,7,0.5,0.2857
1,88,262,16,480.0,2015,75.0,3.0,0.0,1.02,17.0,1.04,15.92,1.05,17.0,1.03,13.27,3,1.0,1.0,1,1,1,1,6,0,1,1,0,1,6,1,1.0,0.0
1,160,9,60,70.0,815,752.0,3.0,1.0,1.11,6.5,1.18,5.63,1.18,6.5,1.15,5.41,4,1.0,1.0,1,1,1,1,3,0,1,1,4,1,7,1,0.4286,0.0
1,75,231,90,20.0,628,1840.0,3.0,1.0,2.75,1.4,2.97,1.45,3.0,1.48,2.85,1.41,4,0.0,0.0,0,0,0,0,1,3,0,0,1,2,2,5,0.5,0.6
1,126,76,56,33.0,844,1205.0,3.0,0.0,2.75,1.4,2.86,1.48,2.86,1.51,2.67,1.46,3,0.0,0.0,0,0,0,0,1,5,0,0,1,2,2,7,0.5,0.7143
1,246,230,11,75.0,2740,713.0,3.0,0.0,1.05,11.0,1.06,12.52,1.06,13.0,1.05,10.57,3,1.0,1.0,1,1,1,1,2,0,1,1,1,3,3,3,0.6667,0.0
1,11,228,7,101.0,3355,578.0,3.0,0.0,1.12,6.0,1.17,5.91,1.17,6.14,1.13,5.65,3,1.0,1.0,1,1,1,1,2,4,0,0,3,2,5,6,0.4,0.6667
1,115,15,65,122.0,771,499.0,3.0,2.0,1.57,2.25,1.65,2.4,1.66,2.5,1.59,2.33,5,1.0,1.0,1,1,1,1,1,1,0,1,1,2,2,3,0.5,0.3333
1,138,131,92,64.0,620,771.0,3.0,1.0,1.28,3.5,1.17,6.13,1.32,6.15,1.27,3.69,4,0.0,0.0,1,1,1,1,1,1,0,1,0,3,1,4,1.0,0.25
1,187,250,126,54.0,462,855.0,3.0,0.0,1.72,2.0,1.81,2.11,1.86,2.11,1.81,1.97,3,0.0,0.0,1,1,1,1,1,1,0,1,1,2,2,3,0.5,0.3333
1,129,2,80,38.0,701,1095.0,3.0,0.0,1.72,2.0,1.9,2.01,1.92,2.02,1.86,1.92,3,0.0,0.0,1,1,1,1,2,2,0,1,2,4,4,6,0.5,0.3333
