Round_num,Winner_Id,Loser_Id,WRank,LRank,WPts,LPts,Wsets,Lsets,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,SetsTotales,LabelWinnerRank,LabelWinnerPoints,LabelWinnerOddsB65,LabelWinnerOddsPS,LabelWinnerOddsMAX,LabelWinnerOddsAvg,WinnerRoundsWon,LoserRoundsWon,LabelWinnerRounds,LabelWinnerRoundsAndOddsAvg,WinnerRoundsLost,LoserRoundsLost,WinnerRoundsPlayed,LoserRoundsPlayed,LabelWinnerRoundsWonOverAll,LabelLoserRoundsWonOverAll
1,21,147,13,242.0,2570,223.0,3.0,0.0,1.01,26.0,1.02,24.52,1.02,27.25,1.01,18.36,3,1.0,1.0,1,1,1,1,5,2,1,1,2,4,7,6,0.7143,0.3333
1,118,244,41,84.0,1060,695.0,3.0,1.0,1.3,3.4,1.32,3.79,1.33,3.79,1.3,3.51,4,1.0,1.0,1,1,1,1,6,4,1,1,1,2,7,6,0.8571,0.6667
2,181,286,28,94.0,1280,608.0,3.0,2.0,1.44,2.62,1.53,2.7,1.53,2.8,1.47,2.63,5,1.0,1.0,1,1,1,1,1,1,0,1,2,1,3,2,0.3333,0.5
2,98,67,52,77.0,855,708.0,3.0,0.0,1.22,4.0,1.27,4.22,1.27,4.5,1.22,4.44,3,1.0,1.0,1,1,1,1,3,0,1,1,1,1,4,1,0.75,0.0
2,113,275,6,40.0,4470,1063.0,3.0,0.0,1.07,9.0,1.08,10.16,1.08,10.25,1.06,8.92,3,1.0,1.0,1,1,1,1,5,0,1,1,1,1,6,1,0.8333,0.0
2,84,157,25,116.0,1505,520.0,3.0,0.0,1.18,4.5,1.24,4.65,1.25,4.65,1.21,4.26,3,1.0,1.0,1,1,1,1,1,0,1,1,1,1,2,1,0.5,0.0
2,22,41,79,21.0,706,1641.0,3.0,1.0,2.75,1.4,2.94,1.46,3.0,1.49,2.78,1.43,4,0.0,0.0,0,0,0,0,1,1,0,0,0,3,1,4,1.0,0.25
2,104,65,4,93.0,6315,614.0,3.0,0.0,1.02,17.0,1.03,20.5,1.03,20.5,1.02,14.72,3,1.0,1.0,1,1,1,1,4,0,1,1,0,2,4,2,1.0,0.0
2,106,35,32,132.0,1265,442.0,3.0,0.0,1.11,6.5,1.13,7.5,1.14,7.5,1.12,6.34,3,1.0,1.0,1,1,1,1,1,0,1,1,2,2,3,2,0.3333,0.0
2,220,30,55,166.0,853,323.0,3.0,0.0,1.22,4.0,1.27,4.26,1.29,4.32,1.25,3.87,3,1.0,1.0,1,1,1,1,3,0,1,1,2,3,5,3,0.6,0.0
2,199,18,2,164.0,8435,326.0,3.0,2.0,1.005,34.0,1.01,41.0,1.01,51.0,1.01,22.81,5,1.0,1.0,1,1,1,1,2,0,1,1,0,1,2,1,1.0,0.0
2,184,227,17,82.0,1965,701.0,3.0,0.0,1.57,2.25,1.65,2.4,1.65,2.45,1.58,2.35,3,1.0,1.0,1,1,1,1,5,2,1,1,1,2,6,4,0.8333,0.5
2,196,200,19,123.0,1855,484.0,3.0,0.0,1.03,15.0,1.04,15.92,1.04,17.0,1.03,13.28,3,1.0,1.0,1,1,1,1,1,0,1,1,1,1,2,1,0.5,0.0
2,266,45,18,48.0,1945,899.0,3.0,2.0,1.36,3.0,1.42,3.11,1.43,3.11,1.38,2.97,5,1.0,1.0,1,1,1,1,3,0,1,1,1,5,4,5,0.75,0.0
2,205,276,24,81.0,1535,701.0,2.0,1.0,1.36,3.0,1.5,2.8,1.5,3.2,1.41,2.85,3,1.0,1.0,1,1,1,1,1,1,0,1,1,3,2,4,0.5,0.25
2,101,191,12,103.0,2725,567.0,3.0,0.0,1.05,11.0,1.08,10.44,1.08,11.5,1.06,9.52,3,1.0,1.0,1,1,1,1,3,0,1,1,3,1,6,1,0.5,0.0
2,211,242,133,31.0,438,1266.0,3.0,0.0,5.5,1.14,5.85,1.17,5.85,1.17,5.33,1.15,3,0.0,0.0,0,0,0,0,1,2,0,0,1,2,2,4,0.5,0.5
2,57,25,9,58.0,2785,825.0,3.0,0.0,1.07,9.0,1.08,10.16,1.08,10.16,1.07,8.51,3,1.0,1.0,1,1,1,1,2,0,1,1,0,2,2,2,1.0,0.0
2,14,62,66,43.0,765,995.0,3.0,2.0,4.0,1.22,3.9,1.3,4.33,1.3,3.86,1.25,5,0.0,0.0,0,0,0,0,3,5,0,0,2,1,5,6,0.6,0.8333
2,122,60,27,154.0,1450,347.0,3.0,0.0,1.14,5.5,1.16,6.16,1.17,6.55,1.14,5.5,3,1.0,1.0,1,1,1,1,3,0,1,1,4,1,7,1,0.4286,0.0
2,194,216,8,72.0,2850,751.0,3.0,1.0,1.05,11.0,1.08,10.44,1.08,12.1,1.06,9.69,4,1.0,1.0,1,1,1,1,1,0,1,1,1,2,2,2,0.5,0.0
