,Players,1R_L,2R_L,3R_L,4R_L,QF_L,SF_L,F_L
109,Struff J.L.,2.0,2.0,0.0,2.0,0.0,0.0,0.0
110,Marterer M.,2.0,0.0,0.0,1.0,0.0,0.0,0.0
111,Hurkacz H.,3.0,1.0,0.0,1.0,0.0,0.0,0.0
112,Shapovalov D.,2.0,2.0,0.0,0.0,0.0,0.0,0.0
113,Fabbiano T.,2.0,1.0,0.0,0.0,0.0,0.0,0.0
114,Fucsovics M.,1.0,3.0,0.0,1.0,0.0,0.0,0.0
115,Bemelmans R.,0.0,1.0,0.0,0.0,0.0,0.0,0.0
116,Zopp J.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
117,Ymer E.,0.0,1.0,0.0,0.0,0.0,0.0,0.0
118,Zverev M.,2.0,0.0,1.0,0.0,0.0,0.0,0.0
119,Del Potro J.M.,0.0,0.0,0.0,1.0,0.0,1.0,0.0
120,Benneteau J.,2.0,1.0,0.0,0.0,0.0,0.0,0.0
121,Popyrin A.,3.0,1.0,0.0,0.0,0.0,0.0,0.0
122,Otte O.,3.0,1.0,0.0,0.0,0.0,0.0,0.0
123,Federer R.,0.0,0.0,0.0,0.0,0.0,1.0,0.0
124,Dellien H.,1.0,2.0,0.0,0.0,0.0,0.0,0.0
125,Djere L.,3.0,1.0,2.0,0.0,0.0,0.0,0.0
126,Kohlschreiber P.,4.0,1.0,1.0,0.0,0.0,0.0,0.0
127,Mayer L.,2.0,0.0,0.0,1.0,0.0,0.0,0.0
128,Londero J.I.,2.0,1.0,0.0,1.0,0.0,0.0,0.0
129,Kecmanovic M.,1.0,2.0,1.0,0.0,0.0,0.0,0.0
130,De Minaur A.,4.0,2.0,0.0,0.0,0.0,0.0,0.0
131,Krajinovic F.,1.0,1.0,2.0,0.0,0.0,0.0,0.0
132,Maden Y.,0.0,1.0,0.0,0.0,0.0,0.0,0.0
133,Garin C.,0.0,1.0,2.0,1.0,0.0,0.0,0.0
134,Carballes Baena R.,3.0,2.0,1.0,0.0,0.0,0.0,0.0
135,Laaksonen H.,1.0,2.0,1.0,0.0,0.0,0.0,0.0
136,Caruso S.,2.0,0.0,1.0,0.0,0.0,0.0,0.0
