Players,1R_W,2R_W,3R_W,4R_W,QF_W,SF_W,F_W
Van Uytvanck A.,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Vondrousova M.,3.0,2.0,2.0,1.0,1.0,1.0,0.0
Paquet C.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Brady J.,3.0,1.0,0.0,0.0,0.0,0.0,0.0
Kuzmova V.,2.0,1.0,0.0,0.0,0.0,0.0,0.0
Kozlova K.,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Frech M.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Arruabarrena L.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Dolehide C.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Sakkari M.,5.0,3.0,1.0,1.0,1.0,0.0,0.0
Siniakova K.,5.0,4.0,1.0,0.0,0.0,0.0,0.0
Peterson R.,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Buzarnescu M.,2.0,1.0,1.0,0.0,0.0,0.0,0.0
Dulgheru A.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Garcia Perez G.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Bencic B.,4.0,2.0,0.0,0.0,0.0,0.0,0.0
Vekic D.,3.0,1.0,1.0,0.0,0.0,0.0,0.0
Pera B.,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Ferro F.,3.0,1.0,1.0,0.0,0.0,0.0,0.0
Gavrilova D.,2.0,1.0,0.0,0.0,0.0,0.0,0.0
Sharapova M.,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Barty A.,3.0,1.0,1.0,1.0,1.0,1.0,1.0
Peng S.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Kerber A.,2.0,2.0,1.0,1.0,0.0,0.0,0.0
Bogdan A.,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Potapova A.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Kucova K.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Siegemund L.,2.0,1.0,1.0,1.0,0.0,0.0,0.0
Sorribes Tormo S.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Kanepi K.,3.0,2.0,1.0,0.0,0.0,0.0,0.0
Davis L.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Parry D.,2.0,1.0,0.0,0.0,0.0,0.0,0.0
Kudermetova V.,4.0,2.0,1.0,1.0,0.0,0.0,0.0
Konta J.,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Minella M.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Collins D.,4.0,2.0,1.0,1.0,0.0,0.0,0.0
Bolsova A.,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Kenin S.,3.0,3.0,3.0,1.0,1.0,1.0,0.0
Andreescu B.,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Muchova K.,3.0,2.0,0.0,0.0,0.0,0.0,0.0
Anisimova A.,3.0,3.0,2.0,1.0,1.0,0.0,0.0
Azarenka V.,4.0,2.0,1.0,0.0,0.0,0.0,0.0
Blinkova A.,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sabalenka A.,4.0,3.0,0.0,0.0,0.0,0.0,0.0
Hon P.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Krunic A.,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Swiatek I.,4.0,4.0,4.0,3.0,2.0,2.0,2.0
Sharma A.,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Rakhimova K.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Schmiedlova A.,2.0,1.0,0.0,0.0,0.0,0.0,0.0
Trevisan M.,3.0,2.0,2.0,2.0,1.0,0.0,0.0
Gauff C.,3.0,2.0,2.0,2.0,1.0,1.0,0.0
