"",Date,Round,Winner,Loser,WRank,LRank,WPts,LPts,Wsets,Lsets,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL,SetsTotales,LabelWinnerRank,LabelWinnerPoints,LabelWinnerOddsB65,LabelWinnerOddsPS,LabelWinnerOddsMAX,LabelWinnerOddsAvg,WinnerRoundsWon,LoserRoundsWon,LabelWinnerRounds,LabelWinnerRoundsAndOddsAvg
22,23/05/2016,1st Round,Watson H.,Gibbs N.,56,72.0,1081,906.0,2.0,1.0,1.4,2.75,1.45,2.55,1.44,2.75,1.43,3.1,1.51,2.53,1.45,3.1,1.41,2.86,3,1.0,1.0,1,1,1,1,2,0,1,1
23,23/05/2016,1st Round,Radwanska A.,Jovanovski B.,2,120.0,5850,534.0,2.0,0.0,1.03,17.0,1.01,10.0,1.02,15.0,1.03,18.59,1.07,8.56,1.04,18.59,1.02,14.19,2,1.0,1.0,1,1,1,1,2,0,1,1
24,23/05/2016,1st Round,Larsson J.,Linette M.,62,84.0,1023,791.0,2.0,1.0,1.5,2.5,1.48,2.45,1.5,2.62,1.61,2.49,5.23,1.15,1.61,2.62,1.53,2.46,3,1.0,1.0,1,1,1,1,3,4,0,0
25,23/05/2016,1st Round,Diyas Z.,Witthoeft C.,90,100.0,750,663.0,2.0,1.0,2.1,1.66,1.9,1.8,2.0,1.8,2.19,1.76,2.08,1.73,2.25,1.8,2.13,1.7,3,1.0,1.0,0,0,0,0,4,1,1,1
26,23/05/2016,1st Round,Bondarenko K.,Vinci R.,65,7.0,978,3405.0,2.0,0.0,2.0,1.72,2.0,1.68,2.1,1.73,2.03,1.88,1.7,2.13,2.2,1.88,2.03,1.77,2,0.0,0.0,0,0,0,0,1,0,1,1
27,23/05/2016,1st Round,Begu I.,Mattek-Sands B.,28,86.0,1655,787.0,2.0,1.0,1.22,4.0,1.22,3.6,1.25,4.0,1.26,4.35,1.86,1.9,1.28,4.35,1.24,3.93,3,1.0,1.0,1,1,1,1,5,2,1,1
28,23/05/2016,1st Round,Vandeweghe C.,Broady N.,43,79.0,1242,824.0,2.0,1.0,1.44,2.62,1.45,2.55,1.5,2.62,1.58,2.46,1.56,2.39,1.62,2.75,1.49,2.59,3,1.0,1.0,1,1,1,1,2,0,1,1
29,24/05/2016,1st Round,Suarez Navarro C.,Siniakova K.,14,104.0,2585,631.0,2.0,1.0,1.28,3.5,1.25,3.5,1.3,3.5,1.33,3.68,1.2,4.46,1.33,3.8,1.29,3.53,3,1.0,1.0,1,1,1,1,4,5,0,0
30,24/05/2016,1st Round,Cornet A.,Flipkens K.,50,61.0,1145,1025.0,2.0,0.0,1.53,2.37,1.6,2.2,1.57,2.38,1.63,2.43,1.37,3.02,1.63,2.5,1.58,2.36,2,1.0,1.0,1,1,1,1,5,2,1,1
31,24/05/2016,1st Round,Bertens K.,Kerber A.,58,3.0,1051,5740.0,2.0,1.0,3.0,1.36,3.0,1.33,3.0,1.4,3.19,1.41,1.36,3.06,3.2,1.44,3.04,1.37,3,0.0,0.0,0,0,0,0,5,2,1,1
32,24/05/2016,1st Round,Konjuh A.,Rodionova Ar.,76,237.0,844,209.0,2.0,0.0,1.1,7.0,1.11,5.1,1.11,6.0,1.12,7.58,2.18,1.66,1.13,7.58,1.11,6.51,2,1.0,1.0,1,1,1,1,2,0,1,1
33,24/05/2016,1st Round,Mladenovic K.,Schiavone F.,30,95.0,1550,712.0,2.0,0.0,1.4,2.75,1.4,2.75,1.44,2.75,1.56,2.61,1.43,2.77,1.57,2.75,1.48,2.63,2,1.0,1.0,1,1,1,1,4,0,1,1
34,24/05/2016,1st Round,Wang Q.,Andrianjafitrimo T.,74,311.0,879,130.0,2.0,0.0,1.25,3.75,1.28,3.3,1.29,3.75,1.3,3.88,1.29,3.57,1.32,3.88,1.27,3.64,2,1.0,1.0,1,1,1,1,4,0,1,1
35,24/05/2016,1st Round,Babos T.,Crawford S.,45,106.0,1200,628.0,2.0,0.0,1.16,5.0,1.16,4.5,1.17,5.0,1.18,5.61,1.12,5.97,1.18,6.1,1.16,5.15,2,1.0,1.0,1,1,1,1,1,0,1,1
36,24/05/2016,1st Round,Maria T.,Jankovic J.,111,26.0,604,1940.0,2.0,1.0,3.75,1.25,3.3,1.28,3.75,1.29,3.42,1.37,1.1,6.91,3.75,1.37,3.39,1.31,3,0.0,0.0,0,0,0,0,2,0,1,1
